name,num_agents,memory_type,memory_size,decision_mode,initial_trust,alpha,beta,enable_normative,random_seed,converged,convergence_tick,final_tick,final_majority_strategy,final_majority_fraction,final_mean_trust,final_mean_memory_window,final_norm_level,final_norm_adoption_rate,final_mean_norm_strength,run_time_seconds
cognitive_lockin_trial1,50,dynamic,5,cognitive_lockin,0.5,0.1,0.3,False,1,True,170.0,219,1,1.0,0.9900000000000001,5.0,3,0.0,0.0,0.26458120346069336
cognitive_lockin_trial0,50,dynamic,5,cognitive_lockin,0.5,0.1,0.3,False,0,True,282.0,331,0,1.0,0.9900000000000001,5.0,3,0.0,0.0,0.39348340034484863
cognitive_lockin_trial2,50,dynamic,5,cognitive_lockin,0.5,0.1,0.3,False,2,True,179.0,228,0,1.0,0.9900000000000001,5.0,3,0.0,0.0,0.2607238292694092
cognitive_lockin_trial3,50,dynamic,5,cognitive_lockin,0.5,0.1,0.3,False,3,True,239.0,288,0,1.0,0.9900000000000001,5.0,3,0.0,0.0,0.3351881504058838
cognitive_lockin_trial4,50,dynamic,5,cognitive_lockin,0.5,0.1,0.3,False,4,False,,1000,1,0.98,0.7750187979510197,4.56,0,0.0,0.0,1.2264409065246582
dual_feedback_trial0,50,dynamic,5,dual_feedback,0.5,0.1,0.3,False,0,False,,1000,1,0.52,0.10456813455964975,2.14,0,0.0,0.0,1.126251220703125
dual_feedback_trial1,50,dynamic,5,dual_feedback,0.5,0.1,0.3,False,1,False,,1000,0,0.54,0.1384469999749773,2.22,0,0.0,0.0,1.0479021072387695
dual_feedback_trial2,50,dynamic,5,dual_feedback,0.5,0.1,0.3,False,2,False,,1000,0,0.54,0.15370876823569113,2.26,0,0.0,0.0,1.0477192401885986
dual_feedback_trial3,50,dynamic,5,dual_feedback,0.5,0.1,0.3,False,3,False,,1000,0,0.54,0.18868689220289334,2.38,0,0.0,0.0,1.0518617630004883
dual_feedback_trial4,50,dynamic,5,dual_feedback,0.5,0.1,0.3,False,4,False,,1000,0,0.5,0.1489947052301219,2.3,0,0.0,0.0,1.074580430984497
epsilon_greedy_trial0,50,dynamic,5,epsilon_greedy,0.5,0.1,0.3,False,0,False,,1000,0,0.6,0.28292046461466325,2.54,0,0.0,0.0,0.7860798835754395
epsilon_greedy_trial1,50,dynamic,5,epsilon_greedy,0.5,0.1,0.3,False,1,False,,1000,0,0.68,0.2894163238844336,2.6,0,0.0,0.0,0.8043692111968994
epsilon_greedy_trial2,50,dynamic,5,epsilon_greedy,0.5,0.1,0.3,False,2,False,,1000,0,0.54,0.29640544738116054,2.76,0,0.0,0.0,0.8063011169433594
epsilon_greedy_trial3,50,dynamic,5,epsilon_greedy,0.5,0.1,0.3,False,3,False,,1000,0,0.54,0.2668208782986963,2.5,0,0.0,0.0,0.8061645030975342
epsilon_greedy_trial4,50,dynamic,5,epsilon_greedy,0.5,0.1,0.3,False,4,False,,1000,0,0.62,0.27743070038147083,2.46,0,0.0,0.0,0.7846190929412842
