condition,tick,fraction_A,coordination_rate,mean_confidence,num_crystallised,mean_norm_strength,belief_error,num_enforcements
Neither,1,0.49,0.58,0.458,0,0.0,0.49980000000000013,0
Neither,2,0.47,0.5,0.4066999999999997,0,0.0,0.245,0
Neither,3,0.45,0.5,0.36687000000000014,0,0.0,0.27099999999999996,0
Neither,4,0.52,0.4,0.3520130000000002,0,0.0,0.25530000000000025,0
Neither,5,0.53,0.58,0.32427920000000016,0,0.0,0.2629,0
Neither,6,0.52,0.56,0.30819447,0,0.0,0.2540666666666668,0
Neither,7,0.43,0.54,0.3022203789999998,0,0.0,0.2597666666666669,0
Neither,8,0.43,0.5,0.29212117689999983,0,0.0,0.2480000000000002,0
Neither,9,0.49,0.46,0.2651409916,0,0.0,0.2514999999999999,0
Neither,10,0.54,0.52,0.26316684047799993,0,0.0,0.24943333333333317,0
Neither,11,0.5,0.36,0.2549618499649,0,0.0,0.22166666666666668,0
Neither,12,0.5,0.44,0.24307303064743002,0,0.0,0.2541666666666668,0
Neither,13,0.51,0.46,0.2446701029119781,0,0.0,0.26030000000000003,0
Neither,14,0.51,0.5,0.2620138135061208,0,0.0,0.22153333333333328,0
Neither,15,0.55,0.42,0.2550726082236505,0,0.0,0.23700000000000013,0
Neither,16,0.41,0.58,0.2553016893463086,0,0.0,0.2667333333333335,0
Neither,17,0.52,0.4,0.2614048201396582,0,0.0,0.26850000000000007,0
Neither,18,0.48,0.48,0.24221241919659614,0,0.0,0.24733333333333335,0
Neither,19,0.52,0.6,0.24453237542976994,0,0.0,0.2455,0
Neither,20,0.48,0.48,0.24391483888587068,0,0.0,0.22676666666666667,0
Neither,21,0.45,0.46,0.24335509694122323,0,0.0,0.28383333333333344,0
Neither,22,0.52,0.56,0.24827143882339262,0,0.0,0.24216666666666664,0
Neither,23,0.54,0.36,0.24223930580865186,0,0.0,0.2553666666666665,0
Neither,24,0.47,0.54,0.23497881296469314,0,0.0,0.2515000000000001,0
Neither,25,0.58,0.48,0.23292358444284986,0,0.0,0.29183333333333306,0
Neither,26,0.44,0.44,0.2390573093607563,0,0.0,0.2737333333333332,0
Neither,27,0.56,0.56,0.23943388510876357,0,0.0,0.2868999999999999,0
Neither,28,0.55,0.42,0.24409858693040667,0,0.0,0.28016666666666673,0
Neither,29,0.46,0.56,0.24120583249979471,0,0.0,0.27539999999999987,0
Neither,30,0.55,0.58,0.2411544897710295,0,0.0,0.2535,0
Neither,31,0.47,0.46,0.25235548937371793,0,0.0,0.2534,0
Neither,32,0.59,0.46,0.25364746146685535,0,0.0,0.2839666666666668,0
Neither,33,0.46,0.4,0.24965174856240857,0,0.0,0.24769999999999978,0
Neither,34,0.48,0.44,0.24182288731922608,0,0.0,0.2339000000000001,0
Neither,35,0.49,0.5,0.24239513856831846,0,0.0,0.22219999999999984,0
Neither,36,0.54,0.44,0.25666385769339806,0,0.0,0.23276666666666646,0
Neither,37,0.46,0.52,0.24680856757112374,0,0.0,0.23789999999999986,0
Neither,38,0.51,0.42,0.26132663895323843,0,0.0,0.23839999999999997,0
Neither,39,0.38,0.68,0.269027446861642,0,0.0,0.24450000000000005,0
