condition,shock_frac,trial,pre_shock_coord,post_shock_coord,coord_drop,min_coord,recovery_tick,recovered,recovery_ticks,ss_coord,post_shock_cryst,final_cryst
EWA_BL,0.2,1,1.0,0.74,-0.26,0.74,502,true,2,1.0,0,0
EWA_BL,0.2,2,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,0,0
EWA_BL,0.2,3,1.0,0.82,-0.18000000000000005,0.82,502,true,2,1.0,0,0
EWA_BL,0.2,4,1.0,0.76,-0.24,0.76,502,true,2,0.9998,0,0
EWA_BL,0.2,5,1.0,0.76,-0.24,0.76,502,true,2,1.0,0,0
EWA_BL,0.2,6,1.0,0.76,-0.24,0.76,502,true,2,1.0,0,0
EWA_BL,0.2,7,1.0,0.86,-0.14,0.86,502,true,2,1.0,0,0
EWA_BL,0.2,8,1.0,0.82,-0.18000000000000005,0.82,502,true,2,0.9998,0,0
EWA_BL,0.2,9,1.0,0.82,-0.18000000000000005,0.82,502,true,2,1.0,0,0
EWA_BL,0.2,10,1.0,0.88,-0.12,0.88,502,true,2,1.0,0,0
EWA_BL,0.2,11,1.0,0.78,-0.21999999999999997,0.78,502,true,2,1.0,0,0
EWA_BL,0.2,12,1.0,0.8,-0.19999999999999996,0.8,502,true,2,0.9998,0,0
EWA_BL,0.2,13,1.0,0.8,-0.19999999999999996,0.8,502,true,2,1.0,0,0
EWA_BL,0.2,14,1.0,0.88,-0.12,0.88,502,true,2,1.0,0,0
EWA_BL,0.2,15,1.0,0.78,-0.21999999999999997,0.78,502,true,2,0.9998,0,0
EWA_BL,0.2,16,1.0,0.82,-0.18000000000000005,0.82,502,true,2,1.0,0,0
EWA_BL,0.2,17,1.0,0.8,-0.19999999999999996,0.8,502,true,2,1.0,0,0
EWA_BL,0.2,18,1.0,0.92,-0.07999999999999996,0.92,501,true,1,1.0,0,0
EWA_BL,0.2,19,1.0,0.74,-0.26,0.74,502,true,2,0.9998,0,0
EWA_BL,0.2,20,1.0,0.82,-0.18000000000000005,0.82,502,true,2,0.9997999999999999,0,0
EWA_BL,0.2,21,1.0,0.8,-0.19999999999999996,0.8,502,true,2,1.0,0,0
EWA_BL,0.2,22,1.0,0.88,-0.12,0.88,502,true,2,1.0,0,0
EWA_BL,0.2,23,1.0,0.9,-0.09999999999999998,0.9,501,true,1,0.9997999999999999,0,0
EWA_BL,0.2,24,1.0,0.88,-0.12,0.88,502,true,2,1.0,0,0
EWA_BL,0.2,25,1.0,0.86,-0.14,0.86,502,true,2,1.0,0,0
EWA_BL,0.2,26,1.0,0.78,-0.21999999999999997,0.78,502,true,2,0.9997999999999999,0,0
EWA_BL,0.2,27,1.0,0.88,-0.12,0.88,502,true,2,0.9998,0,0
EWA_BL,0.2,28,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,0,0
EWA_BL,0.2,29,1.0,0.82,-0.18000000000000005,0.82,502,true,2,0.9994000000000001,0,0
EWA_BL,0.2,30,1.0,0.88,-0.12,0.88,502,true,2,1.0,0,0
EWA_BL,0.2,31,1.0,0.74,-0.26,0.74,502,true,2,0.9998,0,0
EWA_BL,0.2,32,1.0,0.86,-0.14,0.86,502,true,2,0.9998,0,0
EWA_BL,0.2,33,1.0,0.8,-0.19999999999999996,0.8,502,true,2,1.0,0,0
EWA_BL,0.2,34,1.0,0.9,-0.09999999999999998,0.9,501,true,1,0.9998,0,0
EWA_BL,0.2,35,1.0,0.8,-0.19999999999999996,0.8,502,true,2,1.0,0,0
EWA_BL,0.2,36,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,0,0
EWA_BL,0.2,37,1.0,0.78,-0.21999999999999997,0.78,502,true,2,0.9997999999999999,0,0
EWA_BL,0.2,38,1.0,0.86,-0.14,0.86,502,true,2,1.0,0,0
EWA_BL,0.2,39,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,0,0
EWA_BL,0.2,40,1.0,0.82,-0.18000000000000005,0.82,502,true,2,1.0,0,0
EWA_BL,0.2,41,1.0,0.78,-0.21999999999999997,0.78,502,true,2,0.9998,0,0
EWA_BL,0.2,42,1.0,0.78,-0.21999999999999997,0.78,502,true,2,1.0,0,0
EWA_BL,0.2,43,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,0,0
EWA_BL,0.2,44,1.0,0.8,-0.19999999999999996,0.8,502,true,2,1.0,0,0
EWA_BL,0.2,45,1.0,0.82,-0.18000000000000005,0.82,502,true,2,0.9996,0,0
EWA_BL,0.2,46,1.0,0.96,-0.040000000000000036,0.96,501,true,1,1.0,0,0
EWA_BL,0.2,47,1.0,0.8,-0.19999999999999996,0.8,502,true,2,0.9996,0,0
EWA_BL,0.2,48,1.0,0.76,-0.24,0.76,502,true,2,0.9996,0,0
EWA_BL,0.2,49,1.0,0.86,-0.14,0.86,502,true,2,1.0,0,0
EWA_BL,0.2,50,1.0,0.78,-0.21999999999999997,0.78,502,true,2,1.0,0,0
DM_full,0.2,1,1.0,0.82,-0.18000000000000005,0.82,502,true,2,1.0,80,99
DM_full,0.2,2,1.0,0.76,-0.24,0.76,502,true,2,1.0,80,100
DM_full,0.2,3,1.0,0.82,-0.18000000000000005,0.82,502,true,2,1.0,80,100
DM_full,0.2,4,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,80,100
DM_full,0.2,5,1.0,0.8,-0.19999999999999996,0.8,502,true,2,1.0,80,100
DM_full,0.2,6,1.0,0.82,-0.18000000000000005,0.82,502,true,2,1.0,80,100
DM_full,0.2,7,1.0,0.88,-0.12,0.88,502,true,2,1.0,80,100
DM_full,0.2,8,1.0,0.78,-0.21999999999999997,0.78,502,true,2,1.0,80,100
DM_full,0.2,9,1.0,0.86,-0.14,0.86,502,true,2,1.0,80,100
DM_full,0.2,10,1.0,0.74,-0.26,0.74,502,true,2,1.0,80,100
DM_full,0.2,11,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,80,100
DM_full,0.2,12,1.0,0.86,-0.14,0.86,502,true,2,1.0,80,100
DM_full,0.2,13,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,80,100
DM_full,0.2,14,1.0,0.84,-0.16000000000000003,0.84,502,true,2,1.0,80,100
DM_full,0.2,15,1.0,0.88,-0.12,0.88,502,true,2,1.0,80,100
