tick,agent,r,bexp_A,beff_A,sigma,a,e,C
1,1,-1,0.0,0.5,0.0,0,-0.408,0.55
1,2,-1,1.0,0.5,0.0,0,0.332,0.55
1,3,-1,1.0,0.5,0.0,0,0.565,0.35
1,4,-1,0.0,0.5,0.0,0,-0.565,0.35
1,5,-1,1.0,0.5,0.0,0,0.471,0.55
1,6,-1,1.0,0.5,0.0,0,0.396,0.55
1,7,-1,1.0,0.5,0.0,0,0.303,0.55
1,8,-1,1.0,0.5,0.0,0,0.541,0.55
1,9,-1,1.0,0.5,0.0,0,0.678,0.35
1,10,-1,1.0,0.5,0.0,0,0.674,0.35
1,11,-1,1.0,0.5,0.0,0,0.587,0.55
1,12,-1,0.0,0.5,0.0,0,-0.546,0.55
1,13,-1,1.0,0.5,0.0,0,0.616,0.35
1,14,-1,1.0,0.5,0.0,0,0.689,0.35
1,15,-1,0.0,0.5,0.0,0,-0.473,0.55
1,16,-1,0.0,0.5,0.0,0,-0.603,0.55
1,17,-1,1.0,0.5,0.0,0,0.549,0.35
1,18,-1,1.0,0.5,0.0,0,0.32,0.55
1,19,-1,0.0,0.5,0.0,0,-0.408,0.55
1,20,-1,0.0,0.5,0.0,0,-0.465,0.55
1,21,-1,0.0,0.5,0.0,0,-0.579,0.35
1,22,-1,0.0,0.5,0.0,0,-0.597,0.55
1,23,-1,0.0,0.5,0.0,0,-0.626,0.35
1,24,-1,1.0,0.5,0.0,0,0.721,0.35
1,25,-1,0.0,0.5,0.0,0,-0.387,0.55
1,26,-1,0.0,0.5,0.0,0,-0.479,0.35
1,27,-1,0.0,0.5,0.0,0,-0.589,0.55
1,28,-1,1.0,0.5,0.0,0,0.762,0.35
1,29,-1,0.0,0.5,0.0,0,-0.573,0.35
1,30,-1,0.0,0.5,0.0,0,-0.573,0.55
1,31,-1,0.0,0.5,0.0,0,-0.393,0.55
1,32,-1,1.0,0.5,0.0,0,0.554,0.35
1,33,-1,1.0,0.5,0.0,0,0.533,0.35
1,34,-1,0.0,0.5,0.0,0,-0.671,0.35
1,35,-1,0.0,0.5,0.0,0,-0.439,0.55
1,36,-1,1.0,0.5,0.0,0,0.721,0.35
1,37,-1,0.0,0.5,0.0,0,-0.372,0.55
1,38,-1,0.0,0.5,0.0,0,-0.491,0.35
1,39,-1,1.0,0.5,0.0,0,0.623,0.35
1,40,-1,0.0,0.5,0.0,0,-0.775,0.35
1,41,-1,1.0,0.5,0.0,0,0.606,0.35
1,42,-1,0.0,0.5,0.0,0,-0.654,0.35
1,43,-1,1.0,0.5,0.0,0,0.638,0.55
1,44,-1,1.0,0.5,0.0,0,0.772,0.35
1,45,-1,1.0,0.5,0.0,0,0.648,0.35
1,46,-1,1.0,0.5,0.0,0,0.703,0.55
1,47,-1,1.0,0.5,0.0,0,0.461,0.35
1,48,-1,0.0,0.5,0.0,0,-0.422,0.55
1,49,-1,1.0,0.5,0.0,0,0.449,0.55
1,50,-1,1.0,0.5,0.0,0,0.626,0.35
1,51,-1,0.0,0.5,0.0,0,-0.45,0.55
1,52,-1,1.0,0.5,0.0,0,0.498,0.55
1,53,-1,0.0,0.5,0.0,0,-0.661,0.35
1,54,-1,1.0,0.5,0.0,0,0.47,0.55
1,55,-1,1.0,0.5,0.0,0,0.533,0.35
1,56,-1,0.0,0.5,0.0,0,-0.408,0.55
1,57,-1,1.0,0.5,0.0,0,0.751,0.35
1,58,-1,0.0,0.5,0.0,0,-0.341,0.55
1,59,-1,1.0,0.5,0.0,0,0.703,0.35
1,60,-1,0.0,0.5,0.0,0,-0.276,0.55
1,61,-1,0.0,0.5,0.0,0,-0.491,0.55
1,62,-1,1.0,0.5,0.0,0,0.423,0.55
1,63,-1,0.0,0.5,0.0,0,-0.548,0.35
1,64,-1,0.0,0.5,0.0,0,-0.583,0.55
1,65,-1,1.0,0.5,0.0,0,0.595,0.55
1,66,-1,1.0,0.5,0.0,0,0.75,0.35
1,67,-1,1.0,0.5,0.0,0,0.513,0.55
1,68,-1,0.0,0.5,0.0,0,-0.563,0.35
1,69,-1,1.0,0.5,0.0,0,0.688,0.35
1,70,-1,1.0,0.5,0.0,0,0.633,0.35
1,71,-1,0.0,0.5,0.0,0,-0.62,0.55
1,72,-1,1.0,0.5,0.0,0,0.325,0.55
1,73,-1,0.0,0.5,0.0,0,-0.544,0.35
1,74,-1,0.0,0.5,0.0,0,-0.393,0.55
1,75,-1,0.0,0.5,0.0,0,-0.632,0.35
1,76,-1,0.0,0.5,0.0,0,-0.379,0.55
1,77,-1,1.0,0.5,0.0,0,0.704,0.35
1,78,-1,1.0,0.5,0.0,0,0.616,0.35
1,79,-1,1.0,0.5,0.0,0,0.614,0.35
1,80,-1,0.0,0.5,0.0,0,-0.353,0.55
1,81,-1,1.0,0.5,0.0,0,0.792,0.35
1,82,-1,0.0,0.5,0.0,0,-0.503,0.55
1,83,-1,0.0,0.5,0.0,0,-0.454,0.55
1,84,-1,0.0,0.5,0.0,0,-0.776,0.35
1,85,-1,1.0,0.5,0.0,0,0.735,0.35
1,86,-1,1.0,0.5,0.0,0,0.425,0.55
1,87,-1,0.0,0.5,0.0,0,-0.644,0.55
1,88,-1,0.0,0.5,0.0,0,-0.489,0.55
1,89,-1,0.0,0.5,0.0,0,-0.697,0.35
1,90,-1,1.0,0.5,0.0,0,0.445,0.55
1,91,-1,0.0,0.5,0.0,0,-0.408,0.55
1,92,-1,1.0,0.5,0.0,0,0.367,0.55
1,93,-1,0.0,0.5,0.0,0,-0.309,0.55
1,94,-1,1.0,0.5,0.0,0,0.419,0.55
1,95,-1,0.0,0.5,0.0,0,-0.692,0.35
1,96,-1,0.0,0.5,0.0,0,-0.518,0.55
1,97,-1,1.0,0.5,0.0,0,0.631,0.55
1,98,-1,0.0,0.5,0.0,0,-0.615,0.35
1,99,-1,0.0,0.5,0.0,0,-0.509,0.55
1,100,-1,0.0,0.5,0.0,0,-0.493,0.55
2,1,-1,0.5,0.0,0.0,0,0.143,0.385
2,2,-1,0.5,1.0,0.0,0,-0.24,0.385
2,3,-1,0.5,1.0,0.0,0,-0.164,0.245
2,4,-1,0.0,0.0,0.0,0,-1.238,0.415
2,5,-1,1.0,1.0,0.0,0,0.754,0.595
2,6,-1,1.0,1.0,0.0,0,0.902,0.595
2,7,-1,0.5,1.0,0.0,0,-0.148,0.385
2,8,-1,0.5,1.0,0.0,0,-0.106,0.385
2,9,-1,1.0,1.0,0.0,0,1.107,0.415
2,10,-1,1.0,1.0,0.0,0,1.182,0.415
2,11,-1,0.5,1.0,0.0,0,-0.047,0.385
2,12,-1,0.5,0.0,0.0,0,0.174,0.385
2,13,-1,0.5,1.0,0.0,0,-0.217,0.245
2,14,-1,0.5,1.0,0.0,0,-0.158,0.245
2,15,-1,0.5,0.0,0.0,0,0.142,0.385
2,16,-1,0.0,0.0,0.0,0,-0.951,0.595
2,17,-1,1.0,1.0,0.0,0,1.287,0.415
2,18,-1,0.5,1.0,0.0,0,-0.171,0.385
2,19,-1,0.0,0.0,0.0,0,-0.794,0.595
2,20,-1,0.0,0.0,0.0,0,-0.874,0.595
2,21,-1,0.5,0.0,0.0,0,0.242,0.245
2,22,-1,0.5,0.0,0.0,0,0.117,0.385
2,23,-1,0.5,0.0,0.0,0,0.178,0.245
2,24,-1,0.5,1.0,0.0,0,-0.201,0.245
2,25,-1,0.0,0.0,0.0,0,-0.727,0.595
2,26,-1,0.5,0.0,0.0,0,0.328,0.245
2,27,-1,0.0,0.0,0.0,0,-1.045,0.595
2,28,-1,1.0,1.0,0.0,0,1.29,0.415
2,29,-1,0.5,0.0,0.0,0,0.305,0.245
2,30,-1,0.5,0.0,0.0,0,0.222,0.385
2,31,-1,0.0,0.0,0.0,0,-0.813,0.595
2,32,-1,0.5,1.0,0.0,0,0.098,0.245
2,33,-1,0.5,1.0,0.0,0,-0.204,0.245
2,34,-1,0.5,0.0,0.0,0,0.315,0.245
2,35,-1,0.0,0.0,0.0,0,-0.894,0.595
2,36,-1,1.0,1.0,0.0,0,1.323,0.415
2,37,-1,0.5,0.0,0.0,0,0.063,0.385
2,38,-1,0.5,0.0,0.0,0,0.379,0.245
2,39,-1,1.0,1.0,0.0,0,1.291,0.415
2,40,-1,0.5,0.0,0.0,0,-0.004,0.245
2,41,-1,0.5,1.0,0.0,0,0.033,0.245
2,42,-1,0.5,0.0,0.0,0,0.073,0.245
2,43,-1,1.0,1.0,0.0,0,0.976,0.595
2,44,-1,1.0,1.0,0.0,0,1.382,0.415
2,45,-1,0.5,1.0,0.0,0,-0.116,0.245
2,46,-1,1.0,1.0,0.0,0,1.019,0.595
2,47,-1,0.5,1.0,0.0,0,-0.26,0.245
2,48,-1,0.5,0.0,0.0,0,0.249,0.385
2,49,-1,1.0,1.0,0.0,0,0.849,0.595
2,50,-1,0.5,1.0,0.0,0,-0.242,0.245
2,51,-1,0.0,0.0,0.0,0,-1.052,0.595
2,52,-1,0.5,1.0,0.0,0,-0.05,0.385
2,53,-1,0.0,0.0,0.0,0,-1.237,0.415
2,54,-1,1.0,1.0,0.0,0,0.814,0.595
2,55,-1,1.0,1.0,0.0,0,1.114,0.415
2,56,-1,0.0,0.0,0.0,0,-0.999,0.595
2,57,-1,1.0,1.0,0.0,0,1.421,0.415
2,58,-1,0.5,0.0,0.0,0,0.304,0.385
2,59,-1,1.0,1.0,0.0,0,1.325,0.415
2,60,-1,0.5,0.0,0.0,0,0.569,0.385
2,61,-1,0.5,0.0,0.0,0,0.042,0.385
2,62,-1,0.5,1.0,0.0,0,-0.318,0.385
2,63,-1,0.5,0.0,0.0,0,0.068,0.245
2,64,-1,0.0,0.0,0.0,0,-1.183,0.595
2,65,-1,0.5,1.0,0.0,0,-0.151,0.385
2,66,-1,1.0,1.0,0.0,0,1.102,0.415
2,67,-1,0.5,1.0,0.0,0,-0.14,0.385
2,68,-1,0.0,0.0,0.0,0,-1.315,0.415
2,69,-1,0.5,1.0,0.0,0,0.017,0.245
2,70,-1,0.5,1.0,0.0,0,-0.209,0.245
2,71,-1,0.5,0.0,0.0,0,-0.075,0.385
2,72,-1,0.5,1.0,0.0,0,-0.346,0.385
2,73,-1,0.0,0.0,0.0,0,-1.111,0.415
2,74,-1,0.0,0.0,0.0,0,-0.728,0.595
2,75,-1,0.0,0.0,0.0,0,-1.151,0.415
2,76,-1,0.0,0.0,0.0,0,-0.657,0.595
2,77,-1,0.5,1.0,0.0,0,-0.225,0.245
2,78,-1,1.0,1.0,0.0,0,1.315,0.415
2,79,-1,0.5,1.0,0.0,0,-0.169,0.245
2,80,-1,0.5,0.0,0.0,0,0.423,0.385
2,81,-1,1.0,1.0,0.0,0,1.256,0.415
2,82,-1,0.0,0.0,0.0,0,-1.0,0.595
2,83,-1,0.0,0.0,0.0,0,-0.876,0.595
2,84,-1,0.5,0.0,0.0,0,-0.137,0.245
2,85,-1,0.5,1.0,0.0,0,-0.065,0.245
2,86,-1,1.0,1.0,0.0,0,1.003,0.595
2,87,-1,0.0,0.0,0.0,0,-0.987,0.595
2,88,-1,0.5,0.0,0.0,0,0.175,0.385
2,89,-1,0.0,0.0,0.0,0,-1.367,0.415
2,90,-1,0.5,1.0,0.0,0,-0.078,0.385
2,91,-1,0.5,0.0,0.0,0,0.175,0.385
2,92,-1,1.0,1.0,0.0,0,0.716,0.595
2,93,-1,0.5,0.0,0.0,0,0.201,0.385
2,94,-1,1.0,1.0,0.0,0,0.948,0.595
2,95,-1,0.0,0.0,0.0,0,-1.105,0.415
2,96,-1,0.5,0.0,0.0,0,0.04,0.385
2,97,-1,0.5,1.0,0.0,0,0.063,0.385
2,98,-1,0.0,0.0,0.0,0,-1.215,0.415
2,99,-1,0.0,0.0,0.0,0,-0.834,0.595
2,100,-1,0.5,0.0,0.0,0,-0.033,0.385
3,1,-1,0.6667,0.5,0.0,0,0.853,0.2695
3,2,-1,0.6667,0.5,0.0,0,0.556,0.2695
3,3,-1,0.5,0.5,0.0,0,0.771,0.1715
3,4,-1,0.3333,0.0,0.0,0,-0.619,0.2905
3,5,-1,0.6667,1.0,0.0,0,0.164,0.4165
3,6,-1,0.6667,1.0,0.0,0,0.275,0.4165
3,7,-1,0.6667,0.5,0.0,0,0.469,0.4465
3,8,-1,0.6667,0.5,0.0,0,0.471,0.4465
3,9,-1,0.6667,1.0,0.0,0,0.661,0.2905
3,10,-1,1.0,1.0,0.0,0,1.92,0.4735
3,11,-1,0.3333,0.5,0.0,0,-0.846,0.2695
3,12,-1,0.6667,0.5,0.0,0,0.652,0.4465
3,13,-1,0.0,0.5,0.0,0,-0.827,0.3205
3,14,-1,0.5,0.5,0.0,0,0.477,0.1715
3,15,-1,0.6667,0.5,0.0,0,0.683,0.4465
3,16,-1,0.0,0.0,0.0,0,-1.177,0.6355
3,17,-1,1.0,1.0,0.0,0,1.828,0.4735
3,18,-1,0.3333,0.5,0.0,0,-0.741,0.4465
3,19,-1,0.0,0.0,0.0,0,-1.101,0.6355
3,20,-1,0.0,0.0,0.0,0,-1.274,0.6355
3,21,-1,1.0,0.5,0.0,0,0.932,0.3205
3,22,-1,0.3333,0.5,0.0,0,-0.543,0.4465
3,23,-1,0.5,0.5,0.0,0,-0.665,0.1715
3,24,-1,0.0,0.5,0.0,0,-0.841,0.3205
3,25,-1,0.3333,0.0,0.0,0,-0.107,0.4165
3,26,-1,0.5,0.5,0.0,0,-0.506,0.3205
3,27,-1,0.0,0.0,0.0,0,-1.376,0.6355
3,28,-1,1.0,1.0,0.0,0,1.928,0.4735
3,29,-1,1.0,0.5,0.0,0,1.068,0.1715
3,30,-1,0.3333,0.5,0.0,0,-0.43,0.2695
3,31,-1,0.0,0.0,0.0,0,-1.261,0.6355
3,32,-1,0.0,0.5,0.0,0,-0.701,0.1715
3,33,-1,0.0,0.5,0.0,0,-0.888,0.3205
3,34,-1,1.0,0.5,0.0,0,1.015,0.3205
3,35,-1,0.3333,0.0,0.0,0,-0.21,0.4165
3,36,-1,1.0,1.0,0.0,0,1.796,0.4735
3,37,-1,0.6667,0.5,0.0,0,0.902,0.2695
3,38,-1,0.5,0.5,0.0,0,-0.291,0.3205
3,39,-1,0.6667,1.0,0.0,0,0.475,0.2905
3,40,-1,0.5,0.5,0.0,0,-0.868,0.1715
3,41,-1,0.0,0.5,0.0,0,-0.914,0.1715
3,42,-1,0.5,0.5,0.0,0,-0.816,0.1715
3,43,-1,0.6667,1.0,0.0,0,0.351,0.4165
3,44,-1,1.0,1.0,0.0,0,1.901,0.4735
3,45,-1,0.0,0.5,0.0,0,-0.775,0.1715
3,46,-1,1.0,1.0,0.0,0,1.49,0.6355
3,47,-1,0.0,0.5,0.0,0,-1.008,0.1715
3,48,-1,0.3333,0.5,0.0,0,-0.64,0.2695
3,49,-1,1.0,1.0,0.0,0,1.275,0.6355
3,50,-1,0.5,0.5,0.0,0,0.407,0.3205
3,51,-1,0.0,0.0,0.0,0,-1.407,0.6355
3,52,-1,0.6667,0.5,0.0,0,0.656,0.4465
3,53,-1,0.3333,0.0,0.0,0,-0.442,0.2905
3,54,-1,0.6667,1.0,0.0,0,0.341,0.4165
3,55,-1,1.0,1.0,0.0,0,1.638,0.4735
3,56,-1,0.3333,0.0,0.0,0,-0.301,0.4165
3,57,-1,1.0,1.0,0.0,0,1.88,0.4735
3,58,-1,0.6667,0.5,0.0,0,1.07,0.2695
3,59,-1,0.6667,1.0,0.0,0,0.455,0.2905
3,60,-1,0.3333,0.5,0.0,0,-0.12,0.4465
3,61,-1,0.6667,0.5,0.0,0,0.518,0.2695
3,62,-1,0.6667,0.5,0.0,0,0.315,0.2695
3,63,-1,1.0,0.5,0.0,0,0.841,0.3205
3,64,-1,0.3333,0.0,0.0,0,-0.576,0.4165
3,65,-1,0.6667,0.5,0.0,0,0.539,0.2695
3,66,-1,1.0,1.0,0.0,0,1.821,0.4735
3,67,-1,0.3333,0.5,0.0,0,-0.525,0.4465
3,68,-1,0.0,0.0,0.0,0,-1.709,0.4735
3,69,-1,0.0,0.5,0.0,0,-0.708,0.3205
3,70,-1,0.5,0.5,0.0,0,0.546,0.1715
3,71,-1,0.3333,0.5,0.0,0,-0.738,0.2695
3,72,-1,0.3333,0.5,0.0,0,-1.155,0.2695
3,73,-1,0.0,0.0,0.0,0,-1.662,0.4735
3,74,-1,0.3333,0.0,0.0,0,0.037,0.4165
3,75,-1,0.3333,0.0,0.0,0,-0.335,0.2905
3,76,-1,0.0,0.0,0.0,0,-1.004,0.6355
3,77,-1,0.0,0.5,0.0,0,-0.832,0.3205
3,78,-1,1.0,1.0,0.0,0,1.778,0.4735
3,79,-1,0.5,0.5,0.0,0,0.52,0.3205
3,80,-1,0.6667,0.5,0.0,0,1.171,0.2695
3,81,-1,0.6667,1.0,0.0,0,0.625,0.2905
3,82,-1,0.3333,0.0,0.0,0,-0.661,0.4165
3,83,-1,0.0,0.0,0.0,0,-1.413,0.6355
3,84,-1,1.0,0.5,0.0,0,0.792,0.1715
3,85,-1,0.5,0.5,0.0,0,0.703,0.3205
3,86,-1,0.6667,1.0,0.0,0,0.376,0.4165
3,87,-1,0.0,0.0,0.0,0,-1.362,0.6355
3,88,-1,0.6667,0.5,0.0,0,0.627,0.4465
3,89,-1,0.0,0.0,0.0,0,-1.831,0.4735
3,90,-1,0.6667,0.5,0.0,0,0.623,0.4465
3,91,-1,0.6667,0.5,0.0,0,0.995,0.2695
3,92,-1,1.0,1.0,0.0,0,1.152,0.6355
3,93,-1,0.3333,0.5,0.0,0,-0.546,0.4465
3,94,-1,0.6667,1.0,0.0,0,0.306,0.4165
3,95,-1,0.3333,0.0,0.0,0,-0.324,0.2905
3,96,-1,0.3333,0.5,0.0,0,-0.901,0.2695
3,97,-1,0.3333,0.5,0.0,0,-0.581,0.2695
3,98,-1,0.0,0.0,0.0,0,-1.917,0.4735
3,99,-1,0.0,0.0,0.0,0,-1.163,0.6355
3,100,-1,0.6667,0.5,0.0,0,0.719,0.2695
4,1,-1,0.6667,0.6667,0.0,0,-0.106,0.1886
4,2,-1,0.3333,0.6667,0.0,0,-0.59,0.1886
4,3,-1,0.5,0.5,0.0,0,-0.066,0.12
4,4,-1,0.6667,0.3333,0.0,0,0.235,0.2033
4,5,-1,0.6667,0.6667,0.0,0,0.763,0.4749
4,6,-1,0.3333,0.6667,0.0,0,-0.337,0.2916
4,7,-1,0.3333,0.6667,0.0,0,-0.233,0.3126
4,8,-1,0.3333,0.6667,0.0,0,-0.109,0.3126
4,9,-1,0.6667,0.6667,0.0,0,1.407,0.3614
4,10,-1,0.6667,1.0,0.0,0,1.375,0.3314
4,11,-1,0.3333,0.3333,0.0,0,-0.088,0.1886
4,12,-1,1.0,0.6667,0.0,0,1.068,0.5018
4,13,-1,0.3333,0.0,0.0,0,-0.061,0.2244
4,14,-1,0.5,0.5,0.0,0,-0.312,0.2543
4,15,-1,0.6667,0.6667,0.0,0,0.079,0.3126
4,16,-1,0.25,0.0,0.0,0,-0.562,0.4448
4,17,-1,1.0,1.0,0.0,0,2.164,0.5262
4,18,-1,0.3333,0.3333,0.0,0,0.044,0.3126
4,19,-1,0.0,0.0,0.0,0,-1.392,0.672
4,20,-1,0.25,0.0,0.0,0,-0.83,0.4448
4,21,-1,1.0,1.0,0.0,0,1.458,0.3884
4,22,-1,0.3333,0.3333,0.0,0,-0.995,0.5018
4,23,-1,0.5,0.5,0.0,0,0.072,0.2543
4,24,-1,0.3333,0.0,0.0,0,-0.071,0.2244
4,25,-1,0.6667,0.3333,0.0,0,0.558,0.2916
4,26,-1,0.3333,0.5,0.0,0,-1.369,0.2244
4,27,-1,0.25,0.0,0.0,0,-1.0,0.4448
4,28,-1,1.0,1.0,0.0,0,2.607,0.5262
4,29,-1,0.5,1.0,0.0,0,-0.189,0.12
4,30,-1,0.6667,0.3333,0.0,0,0.624,0.1886
4,31,-1,0.0,0.0,0.0,0,-1.479,0.672
4,32,-1,0.5,0.0,0.0,0,0.076,0.12
4,33,-1,0.0,0.0,0.0,0,-1.676,0.3884
4,34,-1,0.6667,1.0,0.0,0,0.263,0.2244
4,35,-1,0.3333,0.3333,0.0,0,-0.651,0.4749
4,36,-1,0.6667,1.0,0.0,0,1.259,0.3314
4,37,-1,1.0,0.6667,0.0,0,1.569,0.3425
4,38,-1,0.3333,0.5,0.0,0,-1.043,0.3884
4,39,-1,0.6667,0.6667,0.0,0,1.183,0.3614
4,40,-1,0.5,0.5,0.0,0,0.114,0.12
4,41,-1,0.0,0.0,0.0,0,-1.43,0.2543
4,42,-1,0.0,0.5,0.0,0,-1.558,0.2543
4,43,-1,0.6667,0.6667,0.0,0,0.898,0.4749
4,44,-1,1.0,1.0,0.0,0,2.362,0.5262
4,45,-1,0.5,0.0,0.0,0,0.063,0.12
4,46,-1,1.0,1.0,0.0,0,1.788,0.672
4,47,-1,0.0,0.0,0.0,0,-1.482,0.2543
4,48,-1,0.3333,0.3333,0.0,0,-1.349,0.3425
4,49,-1,1.0,1.0,0.0,0,1.714,0.672
4,50,-1,0.6667,0.5,0.0,0,1.143,0.3884
4,51,-1,0.0,0.0,0.0,0,-1.654,0.672
4,52,-1,0.6667,0.6667,0.0,0,1.238,0.5018
4,53,-1,0.3333,0.3333,0.0,0,-1.171,0.3614
4,54,-1,0.3333,0.6667,0.0,0,-0.44,0.2916
4,55,-1,1.0,1.0,0.0,0,2.025,0.5262
4,56,-1,0.6667,0.3333,0.0,0,0.375,0.2916
4,57,-1,0.6667,1.0,0.0,0,1.265,0.3314
4,58,-1,0.6667,0.6667,0.0,0,0.335,0.1886
4,59,-1,0.6667,0.6667,0.0,0,1.159,0.3614
4,60,-1,0.6667,0.3333,0.0,0,0.434,0.3126
4,61,-1,0.6667,0.6667,0.0,0,-0.357,0.1886
4,62,-1,0.3333,0.6667,0.0,0,-0.365,0.1886
4,63,-1,1.0,1.0,0.0,0,1.511,0.3884
4,64,-1,0.3333,0.3333,0.0,0,-0.991,0.4749
4,65,-1,0.6667,0.6667,0.0,0,1.154,0.3425
4,66,-1,0.6667,1.0,0.0,0,1.043,0.3314
4,67,-1,0.3333,0.3333,0.0,0,0.061,0.3126
4,68,-1,0.3333,0.0,0.0,0,-1.056,0.3314
4,69,-1,0.3333,0.0,0.0,0,-0.003,0.2244
4,70,-1,0.5,0.5,0.0,0,-0.302,0.2543
4,71,-1,0.3333,0.3333,0.0,0,-1.431,0.3425
4,72,-1,0.3333,0.3333,0.0,0,-0.346,0.1886
4,73,-1,0.0,0.0,0.0,0,-2.021,0.5262
4,74,-1,0.6667,0.3333,0.0,0,0.832,0.2916
4,75,-1,0.3333,0.3333,0.0,0,-1.044,0.3614
4,76,-1,0.25,0.0,0.0,0,-0.171,0.4448
4,77,-1,0.0,0.0,0.0,0,-1.417,0.3884
4,78,-1,1.0,1.0,0.0,0,2.049,0.5262
4,79,-1,0.3333,0.5,0.0,0,-0.003,0.3884
4,80,-1,0.6667,0.6667,0.0,0,0.39,0.1886
4,81,-1,0.6667,0.6667,0.0,0,1.192,0.3614
4,82,-1,0.3333,0.3333,0.0,0,-1.221,0.4749
4,83,-1,0.25,0.0,0.0,0,-0.766,0.4448
4,84,-1,1.0,1.0,0.0,0,1.47,0.2543
4,85,-1,0.3333,0.5,0.0,0,0.004,0.3884
4,86,-1,0.3333,0.6667,0.0,0,-0.442,0.2916
4,87,-1,0.25,0.0,0.0,0,-0.915,0.4448
4,88,-1,0.6667,0.6667,0.0,0,-0.117,0.3126
4,89,-1,0.3333,0.0,0.0,0,-1.248,0.3314
4,90,-1,0.6667,0.6667,0.0,0,1.355,0.5018
4,91,-1,1.0,0.6667,0.0,0,1.858,0.3425
4,92,-1,0.75,1.0,0.0,0,0.515,0.4448
4,93,-1,0.3333,0.3333,0.0,0,-0.978,0.5018
4,94,-1,0.6667,0.6667,0.0,0,0.814,0.4749
4,95,-1,0.6667,0.3333,0.0,0,0.402,0.2033
4,96,-1,0.6667,0.3333,0.0,0,0.003,0.1886
4,97,-1,0.3333,0.3333,0.0,0,0.138,0.1886
4,98,-1,0.3333,0.0,0.0,0,-1.136,0.3314
4,99,-1,0.0,0.0,0.0,0,-1.504,0.672
4,100,-1,0.6667,0.6667,0.0,0,-0.062,0.1886
5,1,-1,0.5,0.6667,0.0,0,0.569,0.2698
5,2,-1,0.0,0.3333,0.0,0,-1.46,0.2698
5,3,-1,0.0,0.5,0.0,0,-0.81,0.208
5,4,-1,1.0,0.6667,0.0,0,1.016,0.283
5,5,-1,0.6667,0.6667,0.0,0,1.374,0.5274
5,6,-1,0.0,0.3333,0.0,0,-0.818,0.3624
5,7,-1,0.6667,0.3333,0.0,0,0.589,0.2188
5,8,-1,0.6667,0.3333,0.0,0,0.682,0.2188
5,9,-1,0.6667,0.6667,0.0,0,2.007,0.4253
5,10,-1,0.6667,0.6667,0.0,0,1.977,0.3983
5,11,-1,1.0,0.3333,0.0,0,0.841,0.1321
5,12,-1,0.75,1.0,0.0,0,0.434,0.3513
5,13,-1,1.0,0.3333,0.0,0,0.752,0.157
5,14,-1,0.6667,0.5,0.0,0,0.326,0.178
5,15,-1,0.3333,0.6667,0.0,0,-0.728,0.2188
5,16,-1,0.3333,0.25,0.0,0,-1.073,0.5004
5,17,-1,0.75,1.0,0.0,0,1.511,0.3683
5,18,-1,0.6667,0.3333,0.0,0,0.829,0.2188
5,19,-1,0.0,0.0,0.0,0,-1.71,0.7048
5,20,-1,0.3333,0.25,0.0,0,-1.415,0.5004
5,21,-1,0.6667,1.0,0.0,0,0.726,0.2719
5,22,-1,0.5,0.3333,0.0,0,-0.253,0.3513
5,23,-1,0.3333,0.5,0.0,0,-0.657,0.3289
5,24,-1,0.5,0.3333,0.0,0,-0.648,0.3019
5,25,-1,1.0,0.6667,0.0,0,0.998,0.3624
5,26,-1,0.0,0.3333,0.0,0,-2.082,0.3019
5,27,-1,0.3333,0.25,0.0,0,-1.594,0.5004
5,28,-1,0.75,1.0,0.0,0,2.047,0.3683
5,29,-1,0.0,0.5,0.0,0,-1.139,0.084
5,30,-1,0.5,0.6667,0.0,0,-0.407,0.1321
5,31,-1,0.25,0.0,0.0,0,-1.101,0.4704
5,32,-1,0.5,0.5,0.0,0,-0.592,0.208
5,33,-1,0.0,0.0,0.0,0,-2.123,0.4496
5,34,-1,0.5,0.6667,0.0,0,0.892,0.3019
5,35,-1,0.3333,0.3333,0.0,0,-1.096,0.5274
5,36,-1,0.3333,0.6667,0.0,0,0.657,0.232
5,37,-1,0.6667,1.0,0.0,0,0.819,0.2398
5,38,-1,0.3333,0.3333,0.0,0,-0.389,0.2719
5,39,-1,0.3333,0.6667,0.0,0,0.471,0.253
5,40,-1,1.0,0.5,0.0,0,0.813,0.208
5,41,-1,0.3333,0.0,0.0,0,-0.783,0.178
5,42,-1,0.0,0.0,0.0,0,-2.155,0.3289
5,43,-1,0.6667,0.6667,0.0,0,1.327,0.5274
5,44,-1,0.75,1.0,0.0,0,1.684,0.3683
5,45,-1,1.0,0.5,0.0,0,1.076,0.084
5,46,-1,1.0,1.0,0.0,0,1.997,0.7048
5,47,-1,0.3333,0.0,0.0,0,-0.637,0.178
5,48,-1,0.0,0.3333,0.0,0,-2.054,0.4083
