tick,fraction_A,coordination,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,bexp_uncr,bexp_crA,bexp_crB,beff_all,beff_uncr,beff_crA,beff_crB,C_all,C_uncr,C_crA,C_crB,sigma_crA,sigma_crB,anom_crA,anom_crB,compl_crA,compl_crB,e_uncr_mean,e_uncr_abs_mean
1,0.49,0.58,100,0,0,0,0,0,0.49,0.49,NaN,NaN,0.5,0.5,NaN,NaN,0.458,0.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.017,0.546
2,0.49,0.46,100,0,0,0,0,0,0.49,0.49,NaN,NaN,0.49,0.49,NaN,NaN,0.4088,0.4088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011,0.579
3,0.5,0.52,100,0,0,0,0,0,0.4783,0.4783,NaN,NaN,0.49,0.49,NaN,NaN,0.379,0.379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.027,0.86
4,0.53,0.46,100,0,0,0,0,0,0.5025,0.5025,NaN,NaN,0.4783,0.4783,NaN,NaN,0.3508,0.3508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.064,0.866
5,0.49,0.5,100,0,0,0,0,0,0.5092,0.5092,NaN,NaN,0.5025,0.5025,NaN,NaN,0.3254,0.3254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.051,1.038
6,0.52,0.48,100,0,0,0,0,0,0.52,0.52,NaN,NaN,0.5092,0.5092,NaN,NaN,0.3238,0.3238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.082,1.151
7,0.55,0.58,96,2,2,2,2,0,0.52,0.5208,1.0,0.0,0.52,0.5174,1.0,0.1667,0.3157,0.3064,0.5443,0.5334,0.8,0.8,0.0,0.0,0.0,0.0,0.132,1.234
8,0.52,0.68,93,5,2,3,0,0,0.5242,0.5125,0.95,0.0,0.52,0.5054,1.0,0.0,0.3205,0.3036,0.5293,0.5801,0.8002,0.801,0.2,0.0,0.256,0.64,0.076,1.378
9,0.47,0.46,90,7,3,2,1,0,0.5133,0.5028,0.7976,0.1667,0.5258,0.5074,0.9395,0.1111,0.3014,0.2865,0.4378,0.4305,0.8003,0.8007,0.71,0.67,0.4574,0.4277,-0.018,1.337
10,0.48,0.52,82,11,7,4,4,0,0.485,0.4898,0.6667,0.1429,0.5192,0.5122,0.8855,0.0256,0.292,0.2644,0.392,0.4577,0.8005,0.8006,0.82,0.43,0.4076,0.2747,-0.056,1.292
11,0.51,0.5,80,11,9,0,2,0,0.485,0.4917,0.5758,0.3148,0.5021,0.4979,0.88,0.0768,0.2712,0.245,0.366,0.3883,0.801,0.8007,1.27,0.89,0.6407,0.4985,0.025,1.25
12,0.5,0.48,77,12,11,1,2,0,0.4917,0.4848,0.6111,0.4091,0.4967,0.4913,0.8187,0.1833,0.2554,0.2269,0.374,0.3256,0.8016,0.8008,1.42,1.27,0.5881,0.5245,-0.015,1.202
13,0.49,0.5,72,12,16,0,5,0,0.4917,0.522,0.6181,0.2604,0.4927,0.5,0.8605,0.1843,0.2567,0.2286,0.3247,0.3319,0.802,0.8011,2.0,1.0,0.6425,0.4409,0.299,1.242
14,0.56,0.48,68,15,17,3,1,0,0.535,0.5735,0.6278,0.299,0.4944,0.5184,0.8242,0.1073,0.2501,0.2216,0.318,0.3041,0.8021,0.8015,1.87,1.47,0.5146,0.604,0.336,1.235
15,0.49,0.42,65,18,17,3,0,0,0.5108,0.5064,0.5926,0.4412,0.5383,0.559,0.8709,0.1069,0.2452,0.2201,0.3021,0.2808,0.8021,0.8019,2.06,2.06,0.5362,0.6423,0.135,1.202
16,0.49,0.46,60,20,20,2,3,0,0.4925,0.4417,0.5833,0.5542,0.5099,0.5153,0.8445,0.1591,0.2406,0.218,0.2928,0.2559,0.8023,0.8019,2.3,2.3,0.579,0.5466,0.081,1.112
17,0.48,0.52,58,20,22,0,2,0,0.4658,0.4425,0.5,0.4962,0.4749,0.4454,0.8515,0.2104,0.2483,0.2355,0.2823,0.251,0.8028,0.8021,2.85,2.59,0.6437,0.5846,0.135,1.144
18,0.47,0.54,54,22,24,2,2,0,0.4717,0.4938,0.4848,0.4097,0.46,0.4383,0.8382,0.1623,0.2555,0.2412,0.2678,0.2765,0.8029,0.8025,3.14,2.71,0.5859,0.5898,0.212,1.243
19,0.47,0.58,48,27,25,5,1,0,0.48,0.4601,0.608,0.38,0.4814,0.4618,0.832,0.1402,0.264,0.2336,0.2888,0.2954,0.8028,0.803,2.93,3.0,0.5252,0.6183,-0.088,1.011
20,0.45,0.5,46,27,27,0,2,0,0.4475,0.442,0.5648,0.3395,0.487,0.4801,0.8605,0.1254,0.263,0.2288,0.2834,0.3011,0.8033,0.7825,3.44,2.78,0.6445,0.597,-0.02,1.056
21,0.43,0.54,46,27,27,0,0,0,0.42,0.442,0.466,0.3364,0.47,0.442,0.8453,0.1424,0.2697,0.2486,0.259,0.3163,0.8037,0.7831,4.04,3.15,0.6452,0.6236,-0.045,1.34
22,0.46,0.56,43,28,29,1,2,0,0.4513,0.4884,0.4929,0.3563,0.4602,0.4419,0.8173,0.1426,0.269,0.2508,0.2466,0.3176,0.7839,0.7849,4.07,3.31,0.6228,0.5815,0.051,1.453
23,0.5,0.52,41,28,31,0,2,0,0.4675,0.5569,0.4821,0.336,0.4762,0.5041,0.8096,0.1381,0.2675,0.2351,0.2446,0.3309,0.7644,0.7865,4.21,3.48,0.6253,0.5861,0.347,1.576
24,0.49,0.46,38,30,32,2,1,0,0.4858,0.5219,0.5111,0.4193,0.4851,0.557,0.7886,0.1151,0.2601,0.2264,0.2378,0.3211,0.7485,0.7874,4.13,3.88,0.5648,0.6086,0.324,1.432
25,0.49,0.58,36,31,33,1,1,0,0.4733,0.4745,0.5161,0.4318,0.488,0.5231,0.8046,0.1521,0.2697,0.2509,0.2525,0.3065,0.6779,0.7884,3.13,4.21,0.5695,0.6103,0.235,1.374
26,0.44,0.48,30,35,35,4,2,0,0.4658,0.4139,0.5786,0.3976,0.4555,0.4361,0.7615,0.166,0.2716,0.2493,0.2573,0.3049,0.6764,0.7575,2.94,3.77,0.4558,0.5945,-0.074,1.226
27,0.5,0.52,28,37,35,2,0,0,0.4883,0.4315,0.5946,0.4214,0.4464,0.3839,0.7598,0.165,0.2737,0.2607,0.261,0.2976,0.6838,0.7421,3.24,3.94,0.485,0.5983,-0.27,1.286
28,0.45,0.38,27,37,36,0,1,0,0.455,0.4877,0.4797,0.4051,0.4731,0.4475,0.7802,0.1768,0.2454,0.2251,0.2315,0.2748,0.6843,0.713,3.89,3.78,0.5204,0.5661,-0.178,1.013
29,0.45,0.46,27,37,36,0,0,0,0.4317,0.5,0.3761,0.4375,0.4684,0.4877,0.7373,0.1777,0.2385,0.2125,0.219,0.2779,0.6547,0.6981,3.95,3.97,0.521,0.5517,-0.193,1.27
30,0.5,0.4,23,39,38,2,2,0,0.495,0.4928,0.4915,0.5,0.4623,0.4783,0.6856,0.2235,0.2415,0.2069,0.2239,0.2805,0.663,0.6893,4.18,3.95,0.4647,0.5078,-0.252,0.906
31,0.54,0.44,23,39,38,0,0,0,0.5225,0.5072,0.5491,0.5044,0.5043,0.4928,0.7534,0.2555,0.2337,0.234,0.2186,0.249,0.6492,0.675,4.46,4.29,0.4984,0.5267,-0.103,1.025
32,0.5,0.4,22,39,39,0,1,0,0.4892,0.5379,0.4444,0.5064,0.511,0.5076,0.7588,0.2651,0.2223,0.2292,0.207,0.2336,0.6357,0.6643,4.79,4.49,0.4838,0.4985,0.06,0.938
33,0.57,0.5,22,39,39,0,0,0,0.5308,0.5947,0.4872,0.5385,0.4974,0.5379,0.7097,0.2623,0.2251,0.2174,0.2209,0.2337,0.6076,0.6505,4.74,4.77,0.4694,0.5001,0.33,0.986
34,0.47,0.5,21,40,39,1,0,0,0.5058,0.5952,0.4271,0.5385,0.5241,0.5754,0.7127,0.3031,0.2319,0.2146,0.2209,0.2525,0.5848,0.6366,4.75,5.05,0.429,0.4858,0.322,0.946
35,0.5,0.52,21,40,39,0,0,0,0.5,0.5317,0.4792,0.5043,0.5129,0.5952,0.6524,0.3256,0.2408,0.2079,0.2311,0.2685,0.5576,0.5937,4.7,4.74,0.4156,0.4712,0.3,1.085
36,0.54,0.48,20,40,40,0,1,0,0.5233,0.575,0.5333,0.4875,0.5025,0.5583,0.6609,0.3161,0.243,0.2246,0.2289,0.2664,0.5446,0.5857,4.95,4.88,0.3868,0.4151,0.707,1.427
37,0.57,0.38,17,42,41,2,1,0,0.5533,0.6569,0.5516,0.5122,0.5156,0.5588,0.704,0.3045,0.2326,0.2485,0.2308,0.2278,0.5309,0.5504,4.69,4.61,0.3551,0.4068,0.831,1.374
