tick,fraction_A,coordination,n_uncr,n_crA,n_crB,new_cryst_A,new_cryst_B,dissolutions,bexp_all,beff_all,bexp_crA,beff_crA,beff_crB,beff_uncr,sigma_crA,sigma_crB,n_enforce_A,n_enforce_B,bexp_var,beff_var,belief_variance,num_enforcements
1,0.49,0.58,100,0,0,0,0,0,0.49,0.5,NaN,NaN,NaN,0.5,NaN,NaN,0,0,0.2499,0.0,0.24989999999999973,0
2,0.49,0.38,100,0,0,0,0,0,0.49,0.49,NaN,NaN,NaN,0.49,NaN,NaN,0,0,0.0949,0.2499,0.0948999999999999,0
3,0.48,0.44,100,0,0,0,0,0,0.4733333333333333,0.49,NaN,NaN,NaN,0.49,NaN,NaN,0,0,0.10262222222222221,0.0949,0.10262222222222216,0
4,0.41,0.5,100,0,0,0,0,0,0.45083333333333336,0.4733333333333333,NaN,NaN,NaN,0.4733333333333333,NaN,NaN,0,0,0.09904097222222223,0.10262222222222221,0.09904097222222216,0
5,0.52,0.44,100,0,0,0,0,0,0.4525,0.45083333333333336,NaN,NaN,NaN,0.45083333333333336,NaN,NaN,0,0,0.10350763888888886,0.09904097222222223,0.10350763888888892,0
6,0.44,0.56,98,1,1,1,1,0,0.4766666666666666,0.4525,1.0,1.0,0.0,0.45153061224489793,0.8,0.8,1,1,0.11889999999999999,0.10350763888888886,0.11889999999999999,0
7,0.55,0.54,98,1,1,0,0,0,0.4791666666666668,0.4766666666666666,1.0,1.0,0.0,0.47619047619047616,0.801,0.801,1,1,0.11269097222222223,0.11889999999999999,0.11269097222222225,0
8,0.53,0.42,96,2,2,1,1,0,0.5108333333333333,0.4791666666666668,0.75,1.0,0.0,0.47829861111111116,0.8005,0.8005,2,2,0.10564652777777779,0.11269097222222223,0.10564652777777775,0
9,0.6,0.56,92,4,4,2,2,0,0.5633333333333332,0.5102986658333333,0.7499999999999999,0.9551000625,0.052366583333333314,0.5108695652173912,0.8007487500000001,0.8005,4,4,0.09737777777777777,0.10999939095983285,0.09737777777777776,0
10,0.57,0.5,87,7,6,3,2,0,0.5691666666666666,0.5590666466000832,0.8333333333333333,0.9487998561916667,0.1830665,0.553639846743295,0.8008557142857143,0.8005000000000001,7,6,0.08806319444444442,0.10531736249047789,0.08806319444444449,0
11,0.56,0.52,83,9,8,2,2,0,0.5733333333333333,0.5595666165002082,0.824074074074074,0.9536885537060186,0.22376641666666663,0.5491967871485944,0.8011072277777777,0.80074875,9,8,0.11531666666666666,0.09235069942247381,0.11531666666666668,0
12,0.47,0.54,77,12,11,3,3,0,0.5308333333333334,0.562122650001039,0.7430555555555557,0.9527218597326182,0.19966084999810602,0.5530303030303031,0.8013279291562502,0.8009977295454545,12,11,0.12647986111111112,0.12313818500304555,0.12647986111111117,0
13,0.54,0.52,76,13,11,1,0,0,0.5150000000000001,0.5292265873795399,0.653846153846154,0.9150554136993259,0.10850954786631056,0.5241228070175438,0.8016088634423078,0.8013590977272728,13,11,0.10546944444444444,0.13211405729034276,0.10546944444444462,0
14,0.54,0.56,73,15,12,2,1,0,0.5141666666666667,0.5150398696995205,0.5777777777777777,0.8594117619064828,0.13440087844623255,0.5068493150684933,0.8018586849833335,0.8015758520625001,15,12,0.10542430555555557,0.11639979019347996,0.10542430555555558,0
15,0.51,0.54,71,16,13,1,1,0,0.5391666666666668,0.5121316206667599,0.609375,0.8379795826496317,0.1837555444319386,0.4988262910798123,0.802302207796875,0.8017600307115866,16,13,0.11992430555555555,0.11004714053149817,0.11992430555555555,0
16,0.52,0.48,70,17,13,1,0,0,0.5133333333333333,0.5323381360269859,0.5147058823529411,0.8692495084763143,0.20178758655906953,0.5119047619047619,0.8025150440368383,0.8023700671061055,17,13,0.11051666666666668,0.11512623954627849,0.11051666666666671,0
17,0.55,0.54,68,18,14,1,1,0,0.5375,0.5278659231678106,0.4999999999999999,0.8182821395761904,0.15291765269592483,0.528186274509804,0.8028684136947222,0.8026240299563823,18,14,0.12546875000000002,0.11574553764531373,0.12546875000000013,0
18,0.62,0.6,63,22,15,4,1,0,0.5691666666666667,0.5589526566812052,0.5984848484848485,0.816369650896181,0.13456444544919133,0.5701058201058202,0.8028846666542605,0.8027121162094983,22,15,0.1059798611111111,0.12616553616741225,0.10597986111111118,0
19,0.56,0.36,61,24,15,2,0,0,0.5975,0.5756527407495102,0.642361111111111,0.8552919542933405,0.1858844781273893,0.5614754098360656,0.8030561849488792,0.8029107862094984,24,15,0.10084097222222221,0.11794397488299273,0.10084097222222219,0
20,0.58,0.48,56,28,16,4,1,0,0.5866666666666667,0.5851574257363206,0.6607142857142858,0.8494958084774644,0.2539495793497748,0.5476190476190477,0.8031823517705085,0.8031613854698423,28,16,0.10748888888888888,0.10741887468841145,0.107488888888889,0
21,0.59,0.46,54,29,17,1,1,0,0.5783333333333334,0.5780882322095703,0.6752873563218391,0.8839515236936614,0.22593504120632452,0.5246913580246914,0.8037180519622922,0.8032645758909911,29,17,0.10066944444444444,0.11435079139155015,0.10066944444444452,0
22,0.48,0.52,52,29,19,0,2,0,0.5558333333333333,0.5757201676301539,0.6350574712643677,0.8851883775924445,0.20973090242988557,0.5368589743589743,0.8042595374740281,0.7441986911443627,29,17,0.10514652777777776,0.11602826930669616,0.10514652777777776,0
23,0.57,0.46,52,29,19,0,0,0,0.5249999999999999,0.5759629320073226,0.5459770114942528,0.87076506513816,0.2110933146522257,0.5448717948717949,0.8047330943496768,0.7150911932152336,29,16,0.09951388888888889,0.12045264818224995,0.09951388888888892,0
24,0.49,0.54,51,29,20,0,1,0,0.5266666666666666,0.5613730576065715,0.557471264367816,0.8397707486364882,0.24753103584328348,0.5261437908496732,0.8053719313126327,0.7201159412943448,29,17,0.1190111111111111,0.11545343848884743,0.11901111111111114,0
25,0.6,0.56,49,30,21,1,1,0,0.545,0.5590266805337187,0.6555555555555556,0.8493866236255426,0.21846361958439423,0.5272108843537415,0.7870913190127156,0.7247923336862079,29,18,0.1003361111111111,0.12575423154470614,0.10033611111111103,0
26,0.55,0.58,48,30,22,0,1,0,0.5474999999999999,0.566402789187854,0.6527777777777778,0.8592776356578221,0.1603916598053357,0.5694444444444444,0.7688145115512662,0.6775445597618528,28,17,0.13864652777777778,0.11848706448603345,0.13864652777777786,0
27,0.57,0.5,48,30,22,0,0,0,0.5666666666666667,0.563988618850414,0.5583333333333333,0.8389086583576256,0.21507282428693805,0.5520833333333334,0.7128245182619947,0.6524207918673228,25,16,0.11361111111111112,0.13989131073837915,0.11361111111111104,0
28,0.64,0.56,45,33,22,3,0,0,0.6049999999999999,0.573111022363873,0.6641414141414141,0.7637368057639066,0.28899034755356334,0.5722222222222222,0.7217640209463069,0.6275558245704418,28,15,0.09064166666666668,0.12854975585879763,0.0906416666666667,0
29,0.63,0.5,44,34,22,1,0,0,0.6391666666666665,0.612145573395573,0.7328431372549021,0.8428694553644538,0.309408902598448,0.5852272727272728,0.7250476878590406,0.628162823118941,29,15,0.10820208333333331,0.11040928861276084,0.10820208333333341,0
30,0.64,0.48,39,38,23,4,1,0,0.6250000000000001,0.6369250288502639,0.6820175438596493,0.8923938143092216,0.3020958525192453,0.5854700854700855,0.718746548880075,0.612076756406925,32,15,0.09465277777777778,0.12190081591964712,0.09465277777777775,0
