theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.5,1,true,71,71,0.0,0.997311696640342,100,0.8475347270446102,1.0,20,22,21,22,2,135,2,0,1.0,0
7.0,0.5,16,true,90,90,1.0,0.9987521283019208,94,0.8510185432017592,0.94,35,35,41,41,0,59,0,0,1.0,0
3.0,2.0,16,true,76,76,0.0,0.9973903784966194,100,0.8489970799725828,1.0,27,27,26,27,7,273,7,0,1.0,0
3.0,0.0,1,true,79,79,0.0,0.997550318380061,98,0.8439261499169884,0.98,28,28,30,30,8,0,6,0,1.0,2
7.0,0.0,16,true,94,94,1.0,0.9992564632981807,91,0.8543125159551368,0.91,34,34,45,45,0,0,0,0,1.0,0
3.0,1.0,16,true,93,93,0.0,0.9991813708314468,99,0.8589676701845833,0.99,32,32,44,44,11,389,10,0,1.0,1
3.0,1.0,1,true,107,107,1.0,0.9997320700261528,97,0.8648052533342482,0.97,36,36,58,58,19,545,16,0,1.0,0
7.0,2.0,1,true,124,124,0.0,0.9998839356769662,90,0.8683717839466831,0.9,43,43,75,75,0,125,0,0,1.0,0
7.0,1.0,1,true,106,106,0.0,0.9994722353641033,92,0.856324166533966,0.92,42,42,57,57,0,94,0,0,1.0,0
7.0,0.0,1,true,123,123,1.0,0.9999035568249061,90,0.8683174997583317,0.9,41,42,74,74,0,0,0,0,1.0,0
3.0,0.5,16,true,124,124,0.0,0.9998888606233046,97,0.8704839696823671,0.97,44,44,75,75,19,654,16,0,1.0,1
3.0,2.0,1,true,75,75,0.0,0.9967591893178209,97,0.847973662049114,0.97,26,26,25,26,8,254,6,0,1.0,1
7.0,0.5,17,true,88,88,0.0,0.9986468506877273,98,0.8498688415130244,0.98,31,31,39,39,0,59,0,0,1.0,0
7.0,5.0,16,true,96,96,0.0,0.9988762148805788,95,0.8530602151782328,0.95,38,38,47,47,1,126,0,0,1.0,0
3.0,0.0,2,true,76,76,1.0,0.9986174549605051,100,0.8500776692224201,1.0,21,21,27,27,3,0,3,0,1.0,1
3.0,0.0,16,true,108,108,1.0,0.9982103104895002,96,0.7723738270708496,0.96,51,51,59,59,29,0,25,0,1.0,16
3.0,0.5,2,true,114,114,1.0,0.9994873251011706,97,0.8450250430238911,0.97,49,49,65,65,26,898,23,0,1.0,5
3.0,5.0,1,true,104,104,0.0,0.9995200562659217,95,0.8508460698402449,0.95,36,36,55,55,33,775,28,0,1.0,4
3.0,2.0,17,true,109,109,1.0,0.9981918895529617,98,0.6896842811248968,0.98,55,56,60,60,44,1116,42,0,1.0,9
3.0,1.0,17,true,101,101,0.0,0.9995987729077797,96,0.8635720019321664,0.96,34,35,52,52,12,416,8,0,1.0,0
7.0,0.0,17,true,120,120,1.0,0.9998026002255882,90,0.8554121931861363,0.9,44,45,71,71,0,0,0,0,1.0,0
3.0,1.0,2,true,113,113,1.0,0.999616297662055,96,0.8637551008127797,0.96,45,45,64,64,22,689,18,0,1.0,0
3.0,5.0,16,true,106,106,0.0,0.9986598724157446,99,0.733990530923912,0.99,47,47,57,57,42,1031,41,0,1.0,7
