theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
5.0,5.0,1,true,82,82,1.0,0.9973915786411195,94,0.8508005221960617,0.94,30,30,33,33,4,202,0,0,1.0,1
5.0,0.5,1,true,81,81,0.0,0.9985159953788488,97,0.8490039448904088,0.97,26,26,32,32,0,52,0,0,1.0,0
3.0,5.0,16,true,106,106,1.0,0.9994171237898445,95,0.8290737340148401,0.95,38,38,57,57,33,847,28,0,1.0,4
3.0,0.0,1,true,81,81,0.0,0.9977856973660876,99,0.8413780102090691,0.99,28,28,31,32,8,0,7,0,1.0,1
3.0,0.5,16,true,83,83,0.0,0.9975669705383075,99,0.8497525555535431,0.99,34,34,31,34,8,354,7,0,1.0,0
7.0,2.0,16,true,83,83,1.0,0.998076461877523,100,0.8484060327734274,1.0,31,32,34,34,0,77,0,0,1.0,0
5.0,0.5,2,true,76,76,0.0,0.9979221566530273,99,0.8481057500843077,0.99,24,25,26,27,0,76,0,0,1.0,0
5.0,5.0,2,true,76,76,1.0,0.9976388529825955,97,0.8472469213122851,0.97,26,27,27,27,0,100,0,0,1.0,0
3.0,0.0,2,true,76,76,0.0,0.9973397786810518,100,0.8488778124286782,1.0,25,25,27,27,7,0,7,0,1.0,0
9.0,0.0,1,true,114,114,0.0,0.9997334565955556,91,0.860055074498131,0.91,44,44,65,65,0,0,0,0,1.0,0
3.0,2.0,1,true,107,107,0.0,0.9997663708380635,97,0.8683975122006675,0.97,32,32,58,58,14,417,11,0,1.0,1
3.0,5.0,17,true,101,101,0.0,0.9994360499023827,92,0.8639331119071869,0.92,32,32,52,52,24,608,16,0,1.0,3
3.0,0.5,17,true,111,111,1.0,0.9997299955761286,94,0.8663620413423854,0.94,41,41,62,62,15,587,9,0,1.0,0
5.0,0.5,3,true,82,82,1.0,0.9986687714908541,98,0.8499605325059658,0.98,26,26,33,33,0,56,0,0,1.0,0
7.0,2.0,17,true,91,91,1.0,0.9977215256802388,98,0.8484486647199514,0.98,40,40,42,42,0,113,0,0,1.0,0
3.0,0.0,3,true,95,95,0.0,0.9995351378165372,95,0.8556403502793094,0.95,28,28,46,46,11,0,7,0,1.0,3
5.0,5.0,3,true,129,129,0.0,0.9986206451241055,98,0.7221125856657316,0.98,75,75,80,80,63,1136,48,13,1.0,11
3.0,5.0,18,true,109,109,1.0,0.999405198411513,97,0.7678128822200536,0.97,45,47,60,60,39,993,36,0,1.0,7
3.0,2.0,2,true,113,113,1.0,0.999516107492908,94,0.8136054689426945,0.94,47,47,64,64,35,939,28,1,1.0,8
3.0,0.5,18,true,106,106,0.0,0.9993834400083731,98,0.8524222401477469,0.98,41,41,57,57,20,679,18,0,1.0,2
5.0,0.5,4,true,103,103,0.0,0.9982460752537584,93,0.854971815397417,0.93,47,47,54,54,9,433,2,0,1.0,2
