theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
5.0,5.0,18,true,79,79,1.0,0.9976503710848494,98,0.8478705693304444,0.98,27,27,30,30,0,98,0,0,1.0,0
3.0,0.1,21,true,73,73,0.0,0.9972080886319695,99,0.8479078852500711,0.99,24,24,24,24,3,180,2,0,1.0,0
5.0,0.7,21,true,87,87,0.0,0.9983253855239971,96,0.851351686522586,0.96,31,30,38,38,3,165,0,0,1.0,0
5.0,0.0,21,true,88,88,0.0,0.998968527694094,95,0.8526357440372178,0.95,29,29,39,39,1,0,0,0,1.0,1
5.0,1.5,10,true,87,87,0.0,0.998977400335195,95,0.8525097843958254,0.95,28,29,38,38,1,89,0,0,1.0,1
3.0,0.7,1,true,74,74,0.0,0.9973759617732754,100,0.8479308097879914,1.0,22,23,25,25,2,142,2,0,1.0,0
7.0,0.5,15,true,93,93,0.0,0.9988692218750345,94,0.8514345029587613,0.94,38,38,44,44,0,70,0,0,1.0,0
7.0,1.0,4,true,104,104,1.0,0.9996907010376863,92,0.8594038354544599,0.92,32,34,55,55,0,46,0,0,1.0,0
5.0,0.2,11,true,91,91,0.0,0.9985990378564367,98,0.8515101511054335,0.98,34,34,42,42,1,150,0,0,1.0,0
3.0,0.0,1,true,87,87,0.0,0.999378418117772,97,0.8574400852916642,0.97,24,25,38,38,10,0,7,0,1.0,0
5.0,0.5,1,true,82,82,0.0,0.9982638382547429,97,0.8491134971940056,0.97,30,30,33,33,0,89,0,0,1.0,0
7.0,0.1,7,true,109,109,1.0,0.9994884379669802,94,0.8589246545714979,0.94,40,45,60,60,2,182,0,0,1.0,0
3.0,2.0,11,true,98,98,1.0,0.999612159465032,99,0.861905278632584,0.99,33,33,49,49,14,404,13,0,1.0,3
3.0,5.0,1,true,154,154,1.0,0.9996010988786099,99,0.8375708843214177,0.99,83,83,105,105,121,1695,75,45,1.0,20
3.0,1.0,21,true,111,111,0.0,0.9995630077020878,98,0.8630493526425311,0.98,40,40,62,62,23,722,21,0,1.0,1
3.0,0.3,11,true,119,119,1.0,0.9996639980251235,95,0.8449881380584436,0.95,48,50,70,70,23,812,18,0,1.0,6
3.0,0.0,2,true,79,79,1.0,0.9977291524765758,100,0.8489268332804155,1.0,28,29,30,30,10,0,10,0,1.0,1
5.0,0.0,22,true,92,92,0.0,0.9992341011565373,93,0.8543843979849516,0.93,30,30,43,43,1,0,0,0,1.0,1
3.0,0.1,22,true,120,120,0.0,0.9995894098536803,95,0.8380930828335917,0.95,51,51,71,71,30,980,25,0,1.0,6
5.0,0.2,12,true,97,97,1.0,0.9984236398287182,97,0.8528314544746158,0.97,39,41,48,48,3,234,0,0,1.0,0
3.0,5.0,2,true,74,74,0.0,0.9974874401675556,100,0.8489980533381858,1.0,23,25,20,25,7,241,7,0,1.0,0
3.0,1.0,22,true,75,75,1.0,0.9969045324502033,97,0.8494344185231009,0.97,26,26,22,26,6,240,3,0,1.0,0
7.0,0.5,16,true,112,112,0.0,0.9997495303862075,94,0.8608291889589658,0.94,39,39,63,63,0,71,0,0,1.0,0
5.0,0.5,2,true,108,108,0.0,0.9980244051846539,92,0.8539038641648532,0.92,56,56,59,59,8,430,0,0,1.0,1
3.0,0.7,2,true,129,129,1.0,0.9999703047361231,92,0.8791861944982666,0.92,36,36,80,80,18,581,10,0,1.0,1
3.0,2.0,12,true,116,116,1.0,0.9998673729940147,94,0.8663998225600976,0.94,35,37,67,67,26,689,20,0,1.0,3
7.0,0.1,8,true,129,129,1.0,0.9998421967426888,91,0.86533084988551,0.91,51,51,80,80,3,199,0,0,1.0,1
3.0,0.3,12,true,107,107,0.0,0.9997153487380763,100,0.8593486642134216,1.0,37,38,58,58,14,505,14,0,1.0,0
3.0,0.0,3,true,96,96,0.0,0.9992539925871167,95,0.8494370365003848,0.95,34,34,47,47,13,0,8,0,1.0,4
5.0,0.2,13,true,92,92,1.0,0.9985236673353682,96,0.8517513295770828,0.96,37,37,43,43,2,155,0,0,1.0,0
3.0,0.7,3,true,72,72,0.0,0.9966581714897691,100,0.8464494710272862,1.0,23,23,23,23,2,146,2,0,1.0,0
3.0,1.0,23,true,76,76,1.0,0.9980101873559242,100,0.8496127447913367,1.0,24,24,21,24,4,181,4,0,1.0,0
5.0,0.0,23,true,107,107,0.0,0.9991065487803544,92,0.8297833048873745,0.92,45,48,58,58,10,0,2,0,1.0,7
5.0,0.5,3,true,86,86,1.0,0.9979473554279781,99,0.8492668469430973,0.99,34,33,37,37,1,150,0,0,1.0,0
3.0,2.0,13,true,73,73,1.0,0.9971274039062731,100,0.8473687921389872,1.0,20,24,22,24,5,196,5,0,1.0,0
3.0,5.0,3,true,113,113,0.0,0.9996997844487393,96,0.8407627969390975,0.96,43,43,64,64,34,849,30,0,1.0,6
7.0,0.1,9,true,89,89,1.0,0.9988174359434155,98,0.8508594410057679,0.98,33,33,40,40,0,62,0,0,1.0,0
7.0,0.5,17,true,104,104,1.0,0.9991678181599365,93,0.8546654704809543,0.93,43,43,55,55,2,149,0,0,1.0,1
3.0,0.3,13,true,69,69,1.0,0.9974163353933959,99,0.8474000367829527,0.99,17,18,20,20,2,107,1,0,1.0,0
3.0,0.1,23,true,118,118,1.0,0.999746314742856,97,0.8529552971081977,0.97,45,46,69,69,20,761,17,0,1.0,6
3.0,1.0,24,true,78,78,1.0,0.9977067576080947,100,0.8483579807699642,1.0,28,28,29,29,9,330,9,0,1.0,0
3.0,0.0,4,true,110,110,1.0,0.9987863286658107,100,0.7605862888974412,1.0,54,54,61,61,32,0,32,0,1.0,20
5.0,0.5,4,true,95,95,1.0,0.9991180661320491,94,0.8543781409758311,0.94,34,34,46,46,1,114,0,0,1.0,1
5.0,0.0,24,true,92,92,0.0,0.9990134514158916,99,0.8527376574191342,0.99,34,34,43,43,1,0,0,0,1.0,0
3.0,0.3,14,true,81,81,0.0,0.9972012905813485,98,0.8491986539387172,0.98,29,32,31,32,10,373,8,0,1.0,0
3.0,0.7,4,true,113,113,1.0,0.9993616719839206,97,0.8192506808177258,0.97,50,50,64,64,30,983,27,0,1.0,8
3.0,2.0,14,true,107,107,1.0,0.9990314198998413,94,0.8329705206129779,0.94,41,41,58,58,31,886,25,0,1.0,4
3.0,5.0,4,true,109,109,1.0,0.9981123785520363,99,0.6738188067998049,0.99,58,58,59,60,46,1095,44,1,1.0,6
3.0,0.1,24,true,82,82,1.0,0.9974041439000435,99,0.8502431769727654,0.99,32,33,33,33,9,365,8,0,1.0,2
7.0,0.5,18,true,101,101,0.0,0.9992808011490297,95,0.8546716891982806,0.95,38,38,52,52,0,92,0,0,1.0,0
3.0,0.0,5,true,76,76,1.0,0.9977706039406518,99,0.8483032631583265,0.99,26,26,27,27,6,0,5,0,1.0,0
3.0,0.7,5,true,81,81,0.0,0.9976611486370913,96,0.8511109123121483,0.96,30,30,32,32,10,370,6,0,1.0,0
3.0,0.1,25,true,73,73,1.0,0.996748551626551,100,0.8477938192639718,1.0,24,24,23,24,2,180,2,0,1.0,0
3.0,5.0,5,true,109,109,0.0,0.9984410128989212,100,0.6718725921230589,1.0,54,55,60,60,44,1077,44,0,1.0,6
3.0,0.3,15,true,120,120,0.0,0.9982897699098291,99,0.7440044571171517,0.99,66,67,71,71,46,1236,40,5,1.0,12
3.0,0.0,6,true,78,78,1.0,0.998166150383486,100,0.8498128019021762,1.0,24,24,29,29,5,0,5,0,1.0,3
3.0,0.1,26,true,70,70,0.0,0.9980475549608012,99,0.8481033034549178,0.99,18,18,21,21,0,67,0,0,1.0,0
3.0,0.3,16,true,72,72,0.0,0.9973364701312313,100,0.8474646535897201,1.0,23,23,22,23,2,145,2,0,1.0,0
3.0,0.7,6,true,115,115,1.0,0.9998394662624748,96,0.864000131056065,0.96,39,39,66,66,20,641,17,0,1.0,1
3.0,0.0,7,true,83,83,0.0,0.9982151538274451,95,0.8459560200198738,0.95,30,30,34,34,9,0,4,0,1.0,2
3.0,5.0,6,true,102,102,1.0,0.9996850920659397,97,0.8640933425446077,0.97,31,33,53,53,20,537,17,0,1.0,2
3.0,0.3,17,true,73,73,1.0,0.9974200853157419,100,0.8475569205088281,1.0,21,21,24,24,3,159,3,0,1.0,0
3.0,0.1,27,true,75,75,0.0,0.9976685063089121,100,0.8482253326788264,1.0,22,22,26,26,3,155,3,0,1.0,0
3.0,0.7,7,true,106,106,1.0,0.9997943712338296,96,0.8669358046069974,0.96,34,34,57,57,12,404,8,0,1.0,0
3.0,0.0,8,true,84,84,0.0,0.9986253892809164,96,0.8477654628636566,0.96,28,28,35,35,9,0,5,0,1.0,3
3.0,5.0,7,true,115,115,0.0,0.9999218802033489,98,0.8726848730229874,0.98,30,32,66,66,17,460,16,0,1.0,2
3.0,0.3,18,true,78,78,0.0,0.9973044474235715,98,0.8492249698028065,0.98,28,29,27,29,7,284,5,0,1.0,0
3.0,0.1,28,true,97,97,0.0,0.9991646154951038,98,0.8568776945816514,0.98,37,37,48,48,11,442,9,0,1.0,0
3.0,0.7,8,true,81,81,0.0,0.9977252523131455,99,0.8499166635040305,0.99,32,32,28,32,8,322,7,0,1.0,0
3.0,0.0,9,true,93,93,1.0,0.9993635358099656,97,0.8543328291468657,0.97,28,30,44,44,11,0,8,0,1.0,0
3.0,2.0,15,true,158,158,0.0,0.9996231172282515,97,0.8229364006572911,0.97,89,89,109,109,122,1856,75,44,1.0,25
3.0,0.3,19,true,69,69,1.0,0.9973837625527956,100,0.8467981758911961,1.0,18,19,20,20,2,108,2,0,1.0,0
