agent,tick,from,to,bexp_A,sigma,e,C
41,6,uncr,crA,1.0,0.8,3.046,0.6162
84,6,uncr,crB,0.0,0.8,-3.035,0.2872
29,8,uncr,crB,0.25,0.8,-3.172,0.3741
66,8,uncr,crA,0.75,0.8,3.172,0.3741
7,9,uncr,crA,0.6667,0.8,3.169,0.2571
16,9,uncr,crB,0.3333,0.8,-3.169,0.2571
55,9,uncr,crA,1.0,0.8,3.03,0.4607
96,9,uncr,crB,0.3333,0.8,-3.169,0.2571
3,10,uncr,crA,1.0,0.8,3.554,0.2535
4,10,uncr,crA,1.0,0.8,3.071,0.2655
21,10,uncr,crB,0.0,0.8,-3.421,0.2223
36,10,uncr,crB,0.0,0.8,-3.071,0.2655
90,10,uncr,crA,1.0,0.8,3.176,0.5387
6,11,uncr,crB,0.3333,0.8,-3.13,0.5124
20,11,uncr,crB,0.0,0.8,-3.292,0.3246
59,11,uncr,crA,1.0,0.8,3.089,0.3941
81,11,uncr,crA,1.0,0.8,3.377,0.5954
13,12,uncr,crA,1.0,0.8,3.562,0.2959
24,12,uncr,crA,1.0,0.8,3.115,0.4172
62,12,uncr,crA,0.6667,0.8,3.198,0.2531
74,12,uncr,crB,0.0,0.8,-3.842,0.0841
83,12,uncr,crB,0.0,0.8,-3.438,0.1034
88,12,uncr,crB,0.0,0.8,-3.384,0.2176
77,13,uncr,crA,1.0,0.8,3.525,0.3859
17,14,uncr,crA,1.0,0.8,3.042,0.2852
85,14,uncr,crA,0.6667,0.8,3.043,0.2228
100,14,uncr,crB,0.0,0.8,-3.609,0.2993
39,15,uncr,crA,0.6667,0.8,3.075,0.25
58,15,uncr,crB,0.0,0.8,-3.345,0.2421
76,16,uncr,crA,0.6667,0.8,3.216,0.2024
26,17,uncr,crB,0.0,0.8,-3.291,0.5492
28,17,uncr,crA,0.6667,0.8,3.084,0.3706
40,18,uncr,crA,1.0,0.8,3.202,0.2603
50,18,uncr,crA,1.0,0.8,3.003,0.1768
51,18,uncr,crA,0.6667,0.8,3.242,0.2344
53,18,uncr,crA,0.6667,0.8,3.09,0.3452
99,18,uncr,crB,0.0,0.8,-3.33,0.2565
32,19,uncr,crA,1.0,0.8,3.443,0.5159
82,19,uncr,crA,1.0,0.8,3.053,0.624
