seed,peak_symmetric_tick,cascade_complete_tick,cascade_duration,cascade_bexp,cascade_frac_A,conv_tick
1,0,38,38,0.0,0.0,26
2,9,48,39,0.99,0.99,37
3,7,35,28,0.002,0.0,25
4,0,32,32,0.007,0.01,21
5,10,42,32,0.971,0.95,39
6,8,40,32,0.012,0.0,35
7,22,70,48,0.995,0.99,58
8,0,33,33,0.0,0.0,22
9,0,44,44,1.0,1.0,33
10,23,58,35,0.018,0.01,53
11,7,42,35,0.997,1.0,32
12,12,49,37,0.945,0.93,52
13,0,34,34,1.0,1.0,21
14,0,43,43,0.0,0.0,31
15,9,71,62,0.993,0.99,66
16,9,46,37,0.995,1.0,35
17,7,38,31,0.005,0.01,27
18,10,46,36,0.008,0.0,34
19,7,39,32,0.0,0.0,27
20,0,40,40,0.998,1.0,28
21,8,40,32,0.0,0.0,28
22,18,53,35,0.02,0.01,48
23,0,28,28,0.02,0.02,22
24,9,42,33,0.024,0.01,35
25,0,46,46,0.988,0.99,40
26,8,63,55,0.998,1.0,54
27,8,38,30,0.0,0.0,30
28,7,54,47,0.021,0.01,48
29,43,88,45,0.995,0.99,76
30,10,43,33,0.978,0.98,32
