section,metric,value,p_value,extra,note
S1,overall_convergence_rate,0.9740740740740741,NaN,NaN,
S1,n_total_runs,540.0,NaN,NaN,
S2,pcor_Phi_theta_crystal,0.2495840972182031,9.283086701983301e-5,NaN,***
S2,pcor_Phi_time_in_churn,-0.19308600606982465,0.002721303219716864,NaN,**
S2,pcor_theta_crystal_total_dissolutions,-0.2069211553642014,0.0012885720876365525,NaN,**
S2,pcor_theta_crystal_recryst_flip,-0.26104322702111127,4.194046255268091e-5,NaN,***
S2,pcor_theta_crystal_time_in_churn,0.15548221998441727,0.016261739434505706,NaN,*
S2,pcor_theta_crystal_convergence_tick,0.4810190668611915,8.881784197001252e-16,NaN,***
S2,pcor_total_dissolutions_total_enforcements,0.29708335727374163,2.6561800472446606e-6,NaN,***
S2,pcor_total_dissolutions_recryst_flip,0.36571916435897767,4.139529163893485e-9,NaN,***
S2,pcor_total_dissolutions_time_in_churn,0.44821823491548163,1.4033219031261979e-13,NaN,***
S2,pcor_total_enforcements_recryst_flip,0.3576060906992809,9.726473626514576e-9,NaN,***
S2,pcor_total_enforcements_time_in_churn,-0.20971010300252726,0.0011015937696183808,NaN,**
S2,pcor_total_enforcements_convergence_tick,0.24761808675958885,0.00010597825730074284,NaN,***
S2,pcor_recryst_flip_time_in_churn,0.3200997634013555,3.661611229777151e-7,NaN,***
S3,m1_pseudo_r2,0.3173787542720544,NaN,NaN,main_effects
S3,m1_accuracy,0.81,NaN,NaN,main_effects
S3,m1_OR_Phi,1.026474610275355,0.7838100696993446,NaN,main_effects
S3,m1_OR_theta_crystal,0.023069595300383217,0.8990211371728393,NaN,main_effects
S3,m2_pseudo_r2,0.3173787543357507,NaN,NaN,interaction
S3,m2_accuracy,0.81,NaN,NaN,interaction
S3,interaction_LR_chi2,1.8582340999273583e-8,0.9998912347223433,1.0,df=1
S4,ols_R2,0.5489986954386794,NaN,NaN,
S4,ols_adj_R2,0.5394838999837992,NaN,NaN,
S4,ols_coef_Phi,-0.017857047701889166,0.00015558711599201506,0.0046455313258353574,
S4,ols_coef_theta_crystal,0.05829621660569855,2.2744846096001777e-25,0.004968207959350246,
S4,ols_coef_total_dissolutions,0.008670342704516632,7.349120617762865e-5,0.0021484006309819724,
S4,ols_coef_total_enforcements,0.0001471318591468527,0.0076223787139585416,5.4667513276190766e-5,
