condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_coordination_rate,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,total_ticks
EWA_RL,1,258,true,209,206,0,209,1.0,1.0,0.0,0,0.0,258
EWA_RL,2,272,true,223,223,0,223,1.0,1.0,0.0,0,0.0,272
EWA_RL,3,175,true,123,123,0,123,1.0,1.0,0.0,0,0.0,175
EWA_RL,4,126,true,77,77,0,77,0.0,1.0,0.0,0,0.0,126
EWA_RL,5,117,true,66,66,0,66,0.0,1.0,0.0,0,0.0,117
EWA_RL,6,280,true,231,231,0,231,0.0,1.0,0.0,0,0.0,280
EWA_RL,7,263,true,214,214,0,214,1.0,1.0,0.0,0,0.0,263
EWA_RL,8,236,true,179,179,0,179,1.0,1.0,0.0,0,0.0,236
EWA_RL,9,115,true,66,65,0,66,1.0,1.0,0.0,0,0.0,115
EWA_RL,10,204,true,155,154,0,155,1.0,1.0,0.0,0,0.0,204
EWA_RL,11,240,true,188,188,0,188,0.0,1.0,0.0,0,0.0,240
EWA_RL,12,86,true,37,36,0,37,0.0,1.0,0.0,0,0.0,86
EWA_RL,13,111,true,59,59,0,59,0.0,1.0,0.0,0,0.0,111
EWA_RL,14,163,true,114,114,0,114,0.0,1.0,0.0,0,0.0,163
EWA_RL,15,115,true,66,66,0,66,0.0,1.0,0.0,0,0.0,115
EWA_RL,16,99,true,48,48,0,48,0.0,1.0,0.0,0,0.0,99
EWA_RL,17,100,true,51,49,0,51,0.0,1.0,0.0,0,0.0,100
EWA_RL,18,151,true,100,100,0,100,0.0,1.0,0.0,0,0.0,151
EWA_RL,19,155,true,102,102,0,102,1.0,1.0,0.0,0,0.0,155
EWA_RL,20,103,true,54,54,0,54,0.0,1.0,0.0,0,0.0,103
EWA_RL,21,93,true,44,44,0,44,1.0,1.0,0.0,0,0.0,93
EWA_RL,22,197,true,146,145,0,146,0.0,1.0,0.0,0,0.0,197
EWA_RL,23,149,true,100,100,0,100,1.0,1.0,0.0,0,0.0,149
EWA_RL,24,95,true,46,46,0,46,1.0,1.0,0.0,0,0.0,95
EWA_RL,25,97,true,45,45,0,45,0.0,1.0,0.0,0,0.0,97
EWA_RL,26,105,true,56,56,0,56,0.0,1.0,0.0,0,0.0,105
EWA_RL,27,132,true,81,81,0,81,0.0,1.0,0.0,0,0.0,132
EWA_RL,28,87,true,38,38,0,38,0.0,1.0,0.0,0,0.0,87
EWA_RL,29,153,true,104,104,0,104,1.0,1.0,0.0,0,0.0,153
EWA_RL,30,135,true,86,86,0,86,1.0,1.0,0.0,0,0.0,135
EWA_RL,31,82,true,28,28,0,28,0.0,1.0,0.0,0,0.0,82
EWA_RL,32,169,true,120,120,0,120,1.0,1.0,0.0,0,0.0,169
EWA_RL,33,120,true,68,68,0,68,0.0,1.0,0.0,0,0.0,120
