Phi,theta_crystal,sigma_0,k,trial,converged,convergence_tick,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.0,3.0,0.8,2.0,1,true,83,32,31,34,34,0.0,0.9979012033767733,99,0.8450392543925883,0.99,83
0.0,3.0,0.8,2.0,2,true,98,30,29,49,49,1.0,0.9996226907335113,95,0.8612759995780571,0.95,98
0.0,3.0,0.8,2.0,3,true,111,50,50,62,62,0.0,0.9992890717981234,97,0.7649108593991,0.97,111
0.0,3.0,0.8,2.0,4,true,70,20,19,21,21,0.0,0.9978222672823398,99,0.8476974092623673,0.99,70
0.0,3.0,0.8,2.0,5,true,99,39,39,50,50,1.0,0.9993191095831011,99,0.8346070965083884,0.99,99
0.0,3.0,0.8,2.0,6,true,74,23,23,25,25,0.0,0.9978700927033457,100,0.8474666255652314,1.0,74
0.0,3.0,0.8,2.0,7,true,72,21,21,23,23,1.0,0.9977415633163546,100,0.8485751888030948,1.0,72
0.0,3.0,0.8,2.0,8,true,78,27,27,29,29,0.0,0.9977532812915868,97,0.8498030555784808,0.97,78
0.0,3.0,0.8,2.0,9,true,70,18,19,21,21,1.0,0.9979263585113988,100,0.8474995307402554,1.0,70
0.0,3.0,0.8,2.0,10,true,70,20,20,21,21,0.0,0.9974192855958368,99,0.8474093412332558,0.99,70
0.0,3.0,0.8,2.0,11,true,74,25,25,25,25,0.0,0.9977952651792323,99,0.848225797838148,0.99,74
0.0,3.0,0.8,2.0,12,true,91,30,30,42,42,0.0,0.9991211384953813,99,0.8514924088005079,0.99,91
0.0,3.0,0.8,2.0,13,true,73,24,24,23,24,1.0,0.9976608004365762,99,0.8493183861386755,0.99,73
0.0,3.0,0.8,2.0,14,true,102,36,36,53,53,1.0,0.9994606829418119,96,0.8230848358069996,0.96,102
0.0,3.0,0.8,2.0,15,true,109,54,54,60,60,0.0,0.9983901175440961,100,0.7336968822092166,1.0,109
0.0,3.0,0.8,2.0,16,true,99,37,37,50,50,1.0,0.9992120649079794,95,0.8181247761954251,0.95,99
0.0,3.0,0.8,2.0,17,true,105,46,46,56,56,1.0,0.9988779064337429,98,0.7833616877416684,0.98,105
0.0,3.0,0.8,2.0,18,true,83,30,30,34,34,0.0,0.9982429009341414,96,0.8514894548114142,0.96,83
0.0,3.0,0.8,2.0,19,true,71,19,21,22,22,0.0,0.9975169006407322,99,0.8475059991903224,0.99,71
