Phi,theta_crystal,sigma_0,k,trial,converged,convergence_tick,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.0,1.5,0.5,1.0,1,true,94,42,42,43,45,1.0,0.997896828585044,100,0.5800978961469392,1.0,94
0.0,1.5,0.5,1.0,2,true,92,40,40,43,43,0.0,0.9978413825243306,100,0.5619454678702703,1.0,92
0.0,1.5,0.5,1.0,3,true,94,44,45,44,45,0.0,0.9977710307995499,100,0.5495160144254776,1.0,94
0.0,1.5,0.5,1.0,4,true,97,48,48,48,48,1.0,0.9974507876345655,100,0.5254613260069326,1.0,97
0.0,1.5,0.5,1.0,5,true,98,49,49,46,49,0.0,0.997931386444811,100,0.5330188796418637,1.0,98
0.0,1.5,0.5,1.0,6,true,84,27,27,35,35,1.0,0.9987198095376832,100,0.6387479116895886,1.0,84
0.0,1.5,0.5,1.0,7,true,96,47,47,46,47,0.0,0.9973562582833977,100,0.5208692016867355,1.0,96
0.0,1.5,0.5,1.0,8,true,94,42,45,42,45,0.0,0.9978405526391527,100,0.5698354341742102,1.0,94
0.0,1.5,0.5,1.0,9,true,86,31,31,37,37,1.0,0.9984238136495199,100,0.6236550766166248,1.0,86
0.0,1.5,0.5,1.0,10,true,82,27,27,33,33,1.0,0.998704743581117,100,0.6371705390334701,1.0,82
0.0,1.5,0.5,1.0,11,true,91,40,39,42,42,0.0,0.9979617254801757,100,0.5920279980838712,1.0,91
0.0,1.5,0.5,1.0,12,true,95,46,45,42,46,0.0,0.9976486388867427,100,0.601549963206717,1.0,95
0.0,1.5,0.5,1.0,13,true,131,75,79,82,82,0.0,0.9983531698553579,100,0.6125667536070157,1.0,131
0.0,1.5,0.5,1.0,14,true,106,57,57,57,57,1.0,0.9967722409236237,100,0.5515327517941099,1.0,106
0.0,1.5,0.5,1.0,15,true,85,26,27,36,36,1.0,0.9990061696662336,100,0.6445862834669802,1.0,85
0.0,1.5,0.5,1.0,16,true,89,36,37,40,40,1.0,0.998423096476443,100,0.612612506731894,1.0,89
0.0,1.5,0.5,1.0,17,true,107,58,58,53,58,0.0,0.9965839586461095,100,0.5340416136073202,1.0,107
0.0,1.5,0.5,1.0,18,true,89,37,40,39,40,0.0,0.9974874929189904,100,0.5927944156010162,1.0,89
0.0,1.5,0.5,1.0,19,true,89,34,33,38,38,0.0,0.9987047868444123,100,0.6280231954245785,1.0,89
0.0,1.5,0.5,1.0,20,true,90,39,39,41,41,0.0,0.9971869968897625,100,0.5754575937920008,1.0,90
0.0,1.5,0.5,2.0,1,true,92,39,39,40,43,1.0,0.9979936592149566,100,0.6106024300691772,1.0,92
