label,Phi,theta_crystal,sigma_0,k,tick,fraction_A,coordination_rate,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,beff_all,C_all,sigma_crA,sigma_crB,anom_crA,anom_crB,e_uncr_mean,e_uncr_abs_mean,num_enforcements,convergence_counter
baseline,0.0,3.0,0.8,2.0,1,0.49,0.58,100,0,0,0,0,0,0.49,0.5,0.458,NaN,NaN,NaN,NaN,0.011,0.542,0,0
baseline,0.0,3.0,0.8,2.0,2,0.49,0.38,100,0,0,0,0,0,0.49,0.49,0.3916,NaN,NaN,NaN,NaN,0.01,0.736,0,0
baseline,0.0,3.0,0.8,2.0,3,0.48,0.44,100,0,0,0,0,0,0.4733,0.49,0.3701,NaN,NaN,NaN,NaN,-0.004,0.76,0,0
baseline,0.0,3.0,0.8,2.0,4,0.41,0.5,100,0,0,0,0,0,0.4508,0.4733,0.3397,NaN,NaN,NaN,NaN,-0.065,0.862,0,0
baseline,0.0,3.0,0.8,2.0,5,0.52,0.44,100,0,0,0,0,0,0.4525,0.4508,0.3138,NaN,NaN,NaN,NaN,-0.129,0.99,0,0
baseline,0.0,3.0,0.8,2.0,6,0.44,0.56,98,1,1,1,1,0,0.4767,0.4525,0.3019,0.8,0.8,0.0,0.0,-0.151,1.033,0,0
baseline,0.0,3.0,0.8,2.0,7,0.55,0.54,98,1,1,0,0,0,0.4792,0.4767,0.2899,0.801,0.801,0.0,0.0,-0.181,1.133,0,0
baseline,0.0,3.0,0.8,2.0,8,0.53,0.42,96,2,2,1,1,0,0.5108,0.4792,0.2734,0.8005,0.8005,0.5,0.5,-0.161,1.221,0,0
baseline,0.0,3.0,0.8,2.0,9,0.6,0.56,92,4,4,2,2,0,0.5633,0.5103,0.2643,0.8007,0.8005,0.25,0.5,-0.077,1.263,0,0
baseline,0.0,3.0,0.8,2.0,10,0.57,0.5,87,7,6,3,2,0,0.5692,0.5591,0.2616,0.8009,0.8005,0.29,0.83,-0.034,1.291,0,0
baseline,0.0,3.0,0.8,2.0,11,0.56,0.52,83,9,8,2,2,0,0.5733,0.5596,0.2744,0.8011,0.8007,0.56,1.0,0.04,1.296,0,0
baseline,0.0,3.0,0.8,2.0,12,0.47,0.54,77,12,11,3,3,0,0.5308,0.5621,0.2676,0.8013,0.801,0.67,1.0,0.092,1.219,0,0
baseline,0.0,3.0,0.8,2.0,13,0.54,0.52,76,13,11,1,0,0,0.515,0.5292,0.2732,0.8016,0.8014,1.15,1.64,0.053,1.254,0,0
baseline,0.0,3.0,0.8,2.0,14,0.54,0.56,73,15,12,2,1,0,0.5142,0.515,0.2765,0.8019,0.8016,1.4,2.08,0.009,1.26,0,0
baseline,0.0,3.0,0.8,2.0,15,0.51,0.54,71,16,13,1,1,0,0.5392,0.5121,0.2719,0.8023,0.8018,1.69,2.54,0.027,1.314,0,0
baseline,0.0,3.0,0.8,2.0,16,0.52,0.48,70,17,13,1,0,0,0.5133,0.5323,0.2683,0.8025,0.8024,2.18,2.92,0.009,1.394,0,0
baseline,0.0,3.0,0.8,2.0,17,0.55,0.54,68,18,14,1,1,0,0.5375,0.5279,0.2646,0.8029,0.8026,2.5,3.21,0.102,1.445,0,0
baseline,0.0,3.0,0.8,2.0,18,0.62,0.6,63,22,15,4,1,0,0.5692,0.559,0.2627,0.8029,0.8027,2.32,3.67,0.062,1.388,0,0
baseline,0.0,3.0,0.8,2.0,19,0.56,0.36,61,24,15,2,0,0,0.5975,0.5757,0.2425,0.8031,0.8029,2.62,4.47,0.039,1.284,0,0
baseline,0.0,3.0,0.8,2.0,20,0.58,0.48,56,28,16,4,1,0,0.5867,0.5852,0.2495,0.8032,0.8032,2.54,4.69,-0.087,1.135,0,0
baseline,0.0,3.0,0.8,2.0,21,0.59,0.46,54,29,17,1,1,0,0.5783,0.5781,0.2522,0.8037,0.8033,2.76,5.06,-0.084,1.198,0,0
baseline,0.0,3.0,0.8,2.0,22,0.48,0.52,52,29,19,0,2,0,0.5558,0.5757,0.2527,0.8043,0.7442,3.21,3.84,0.063,1.251,0,0
baseline,0.0,3.0,0.8,2.0,23,0.57,0.46,52,29,19,0,0,0,0.525,0.576,0.2451,0.8047,0.7151,3.72,3.95,0.06,1.252,0,0
baseline,0.0,3.0,0.8,2.0,24,0.49,0.54,51,29,20,0,1,0,0.5267,0.5614,0.2602,0.8054,0.7201,4.07,4.05,0.144,1.229,0,0
baseline,0.0,3.0,0.8,2.0,25,0.6,0.56,49,30,21,1,1,0,0.545,0.559,0.2627,0.7871,0.7248,3.87,4.19,0.214,1.159,0,0
baseline,0.0,3.0,0.8,2.0,26,0.55,0.58,48,30,22,0,1,0,0.5475,0.5664,0.2639,0.7688,0.6775,3.97,3.64,0.336,1.176,0,0
baseline,0.0,3.0,0.8,2.0,27,0.57,0.5,48,30,22,0,0,0,0.5667,0.564,0.2612,0.7128,0.6524,3.53,3.82,0.448,1.258,0,0
baseline,0.0,3.0,0.8,2.0,28,0.64,0.56,45,33,22,3,0,0,0.605,0.5731,0.2711,0.7218,0.6276,3.42,3.86,0.417,1.25,0,0
baseline,0.0,3.0,0.8,2.0,29,0.63,0.5,44,34,22,1,0,0,0.6392,0.6121,0.2766,0.725,0.6282,3.62,4.5,0.492,1.398,0,0
baseline,0.0,3.0,0.8,2.0,30,0.64,0.48,39,38,23,4,1,0,0.625,0.6369,0.2762,0.7187,0.6121,3.34,4.39,0.514,1.273,0,0
baseline,0.0,3.0,0.8,2.0,31,0.63,0.62,39,38,23,0,0,0,0.6358,0.6373,0.2765,0.7046,0.588,3.47,4.61,0.756,1.395,0,0
baseline,0.0,3.0,0.8,2.0,32,0.62,0.44,36,41,23,3,0,0,0.6483,0.6527,0.2747,0.7126,0.5395,3.56,4.39,0.801,1.408,0,0
baseline,0.0,3.0,0.8,2.0,33,0.65,0.58,33,44,23,3,0,0,0.6408,0.673,0.2856,0.7196,0.5403,3.57,5.0,0.753,1.307,0,0
baseline,0.0,3.0,0.8,2.0,34,0.68,0.44,30,47,23,3,0,0,0.6617,0.6708,0.2715,0.7135,0.4914,3.51,4.91,0.686,1.227,0,0
baseline,0.0,3.0,0.8,2.0,35,0.68,0.6,29,48,23,1,0,0,0.68,0.7035,0.2824,0.7044,0.4674,3.5,5.13,0.82,1.326,0,0
baseline,0.0,3.0,0.8,2.0,36,0.73,0.54,26,51,23,3,0,0,0.6783,0.7263,0.2988,0.7,0.4192,3.35,4.96,0.778,1.234,0,0
baseline,0.0,3.0,0.8,2.0,37,0.74,0.72,26,52,22,1,0,1,0.7408,0.7266,0.3247,0.703,0.4274,3.48,5.45,0.933,1.262,0,0
baseline,0.0,3.0,0.8,2.0,38,0.75,0.58,25,54,21,2,0,1,0.7497,0.7621,0.3316,0.7075,0.3829,3.67,5.19,1.01,1.293,0,0
baseline,0.0,3.0,0.8,2.0,39,0.85,0.74,20,60,20,6,0,1,0.805,0.7775,0.3545,0.718,0.3612,3.4,5.25,0.772,1.11,0,0
baseline,0.0,3.0,0.8,2.0,40,0.79,0.66,20,61,19,1,0,1,0.8092,0.8304,0.3667,0.7017,0.3074,3.21,4.74,0.968,1.233,0,0
baseline,0.0,3.0,0.8,2.0,41,0.86,0.84,21,62,17,1,0,2,0.8358,0.8492,0.4089,0.6955,0.3147,3.06,4.94,1.147,1.255,0,0
baseline,0.0,3.0,0.8,2.0,42,0.85,0.78,17,66,17,4,0,0,0.8458,0.8597,0.4279,0.7031,0.3147,2.98,5.88,1.035,1.172,0,0
baseline,0.0,3.0,0.8,2.0,43,0.86,0.76,17,66,17,0,0,0,0.8868,0.8718,0.447,0.7044,0.2813,3.14,6.29,1.351,1.428,0,0
baseline,0.0,3.0,0.8,2.0,44,0.92,0.88,19,68,13,2,0,4,0.8908,0.9052,0.4781,0.7085,0.2883,3.12,6.38,1.188,1.188,0,0
baseline,0.0,3.0,0.8,2.0,45,0.89,0.82,20,70,10,2,0,3,0.8958,0.9177,0.508,0.7125,0.2454,3.07,5.2,1.239,1.239,0,0
baseline,0.0,3.0,0.8,2.0,46,0.95,0.9,19,73,8,3,0,2,0.9035,0.9226,0.5411,0.7173,0.2452,3.01,5.25,1.254,1.254,0,0
baseline,0.0,3.0,0.8,2.0,47,0.93,0.9,18,74,8,1,0,0,0.9333,0.9302,0.5676,0.712,0.2457,2.91,6.12,1.611,1.611,0,0
baseline,0.0,3.0,0.8,2.0,48,0.95,0.9,17,77,6,3,0,2,0.948,0.9514,0.5992,0.7092,0.2458,2.7,6.17,1.622,1.622,0,0
baseline,0.0,3.0,0.8,2.0,49,0.95,0.9,15,80,5,3,0,1,0.944,0.9633,0.6268,0.714,0.2464,2.66,6.6,1.578,1.578,0,0
