theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.0,1,1000,true,109,109,0.0,0.9989703386500713,972,0.7677208480299732,0.972,52,51,60,60,306,0,274,4,1.0,26
3.0,0.0,2,1000,true,104,104,0.0,0.9994943508040459,968,0.8354758933578492,0.968,39,38,55,55,201,0,169,0,1.0,18
3.0,0.0,20,1000,true,107,107,1.0,0.9988546514669469,983,0.7710417044086251,0.983,51,50,58,58,303,0,284,2,1.0,28
3.0,0.0,3,1000,true,106,106,0.0,0.9990583550773562,982,0.7879970837511473,0.982,48,48,57,57,267,0,248,1,1.0,27
3.0,0.5,9,1000,true,100,100,1.0,0.9995698657994464,977,0.8619162914131462,0.977,34,34,51,51,114,4221,91,0,1.0,5
3.0,0.0,21,1000,true,109,109,1.0,0.9989246824260882,979,0.7684433497531499,0.979,51,51,60,60,295,0,271,3,1.0,29
3.0,0.5,10,1000,true,108,108,1.0,0.9996625907581751,974,0.8637379391223904,0.974,38,38,59,59,174,5880,148,0,1.0,12
3.0,0.0,4,1000,true,119,119,1.0,0.9983087281369225,994,0.7513182156972799,0.994,64,66,70,70,523,0,396,121,1.0,41
3.0,0.0,22,1000,true,116,116,1.0,0.9983926168268913,991,0.7489686696672674,0.991,62,62,67,67,466,0,370,87,1.0,38
3.0,0.5,28,1000,true,117,117,1.0,0.9987227326537037,985,0.754649919332756,0.985,62,62,68,68,395,11488,367,13,1.0,29
3.0,0.0,23,1000,true,109,109,0.0,0.9986805081656491,987,0.7568283494250347,0.987,53,53,60,60,320,0,301,6,1.0,31
3.0,0.5,11,1000,true,118,118,1.0,0.9986363790363119,980,0.7425607612517146,0.98,64,63,69,69,391,11842,364,7,1.0,28
3.0,0.5,29,1000,true,118,118,0.0,0.9995174244054771,961,0.8164217559406931,0.961,52,52,69,69,314,9919,275,0,1.0,23
3.0,2.0,6,1000,true,110,110,0.0,0.9993946409852039,966,0.8043019735540748,0.966,48,47,61,61,374,9678,340,0,1.0,15
7.0,2.0,7,1000,true,102,102,0.0,0.9992646228890882,931,0.85562202428989,0.931,40,40,53,53,8,1081,0,0,1.0,5
3.0,0.0,5,1000,true,116,116,1.0,0.9980795097807508,988,0.7358747588514343,0.988,63,63,67,67,445,0,365,68,1.0,38
3.0,2.0,25,1000,true,110,110,1.0,0.9984930766014771,986,0.7188534161669822,0.986,53,53,61,61,433,10868,418,1,1.0,19
3.0,1.0,17,1000,true,115,115,1.0,0.9990487186893917,980,0.7799481179726898,0.98,56,55,66,66,386,10830,366,0,1.0,23
3.0,5.0,14,1000,true,124,124,0.0,0.9964973995596054,984,0.7193748128023049,0.984,71,71,66,71,720,12548,521,183,1.0,40
3.0,0.5,12,1000,true,118,118,1.0,0.9985495323167946,981,0.7307694796763803,0.981,65,64,69,69,386,11780,361,6,1.0,30
3.0,0.5,30,1000,true,114,114,0.0,0.9993265636717991,976,0.8246378705665955,0.976,53,52,65,65,309,9596,285,0,1.0,22
3.0,2.0,7,1000,true,110,110,1.0,0.9996907363662805,965,0.8577537873798334,0.965,40,40,61,61,290,7555,255,0,1.0,17
3.0,0.0,6,1000,true,107,107,1.0,0.9987979743325707,971,0.7608209669865725,0.971,51,51,58,58,301,0,267,5,1.0,27
3.0,2.0,26,1000,true,109,109,0.0,0.998317341092956,985,0.7260570834902923,0.985,55,55,60,60,429,10866,412,2,1.0,18
3.0,5.0,15,1000,true,109,109,0.0,0.9964601556911643,992,0.6685113218594133,0.992,60,59,58,60,489,11352,454,27,1.0,26
