theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.0,1,5000,true,124,124,0.0,0.9980824679776611,4952,0.7668047795619624,0.9904,72,71,75,75,3185,0,2114,1023,1.0,55
3.0,0.5,28,5000,true,112,112,1.0,0.9997183718588444,4819,0.8639346186276287,0.9638,41,41,63,63,979,32966,799,0,1.0,17
3.0,2.0,25,5000,true,109,109,0.0,0.997334467122043,4969,0.6919467946875307,0.9938,58,57,60,60,2252,55992,2186,35,1.0,30
5.0,0.0,22,5000,true,132,132,1.0,0.9995878450697051,4635,0.8028437132848609,0.927,66,65,83,83,1031,0,660,65,1.0,40
3.0,0.5,29,5000,true,117,117,0.0,0.9994158766306531,4854,0.8125149255407678,0.9708,54,53,68,68,1610,50627,1464,0,1.0,28
3.0,2.0,26,5000,true,109,109,0.0,0.9983672637067599,4929,0.725139260928641,0.9858,55,55,60,60,2108,54133,2034,3,1.0,28
3.0,0.0,2,5000,true,109,109,0.0,0.9987670055770288,4911,0.7627833005049761,0.9822,53,52,60,60,1553,0,1428,36,1.0,34
5.0,0.0,23,5000,true,136,136,1.0,0.999313290852319,4700,0.7951665384405784,0.94,74,73,87,87,1490,0,946,296,1.0,48
3.0,0.5,30,5000,true,116,116,0.0,0.9996013049405199,4804,0.8444345712192867,0.9608,49,48,67,67,1388,44181,1192,0,1.0,25
3.0,2.0,27,5000,true,117,117,0.0,0.9970755450434775,4984,0.7173338604003124,0.9968,68,68,68,68,3297,60234,2393,888,1.0,48
3.0,0.0,3,5000,true,110,110,1.0,0.9985248100667341,4926,0.7457775309474189,0.9852,55,54,61,61,1686,0,1547,65,1.0,36
5.0,0.0,24,5000,true,125,125,1.0,0.99982451154654,4553,0.8430389467634731,0.9106,50,50,76,76,555,0,217,0,1.0,27
3.0,0.0,4,5000,true,109,109,1.0,0.9987787478124394,4924,0.76244243996941,0.9848,53,52,60,60,1538,0,1421,41,1.0,32
3.0,1.0,1,5000,true,113,113,0.0,0.9993674421639914,4847,0.8177083699439192,0.9694,50,50,64,64,1698,48546,1546,0,1.0,26
3.0,2.0,28,5000,true,119,119,0.0,0.9971860195290642,4976,0.7213997040189368,0.9952,70,69,68,70,3369,61227,2455,890,1.0,53
5.0,0.0,25,5000,true,130,130,1.0,0.9997279766194858,4588,0.8134313932989965,0.9176,59,58,81,81,789,0,463,9,1.0,34
3.0,2.0,29,5000,true,109,109,0.0,0.9990678934985415,4877,0.7765045896227981,0.9754,50,49,60,60,1984,50709,1859,2,1.0,26
3.0,0.0,5,5000,true,109,109,0.0,0.9986596153627175,4914,0.7544048715104589,0.9828,53,52,60,60,1610,0,1486,38,1.0,32
3.0,1.0,2,5000,true,113,113,1.0,0.9994703963110997,4842,0.83081097710525,0.9684,49,48,64,64,1600,46458,1442,0,1.0,24
5.0,0.0,26,5000,true,129,129,0.0,0.99981420760988,4556,0.8300800957692558,0.9112,55,54,80,80,653,0,303,2,1.0,31
3.0,2.0,30,5000,true,113,113,1.0,0.9974608894849182,4985,0.6778993673004126,0.997,64,63,63,64,2507,58236,2303,189,1.0,40
3.0,0.0,6,5000,true,112,112,0.0,0.9985266918432937,4937,0.742766050703565,0.9874,57,56,63,63,1842,0,1640,139,1.0,40
5.0,0.0,27,5000,true,130,130,1.0,0.9996105847514818,4648,0.8037652900026695,0.9296,62,62,81,81,917,0,610,45,1.0,37
3.0,1.0,3,5000,true,123,123,1.0,0.9973348201312378,4979,0.7370709532589587,0.9958,74,74,74,74,3387,65155,2371,995,1.0,51
3.0,5.0,1,5000,true,120,120,1.0,0.9969803203866839,4940,0.7069644080964013,0.988,71,68,64,71,3336,61081,2512,764,1.0,55
3.0,0.0,7,5000,true,109,109,0.0,0.9988634084209943,4925,0.7643707087529696,0.985,52,51,60,60,1564,0,1450,39,1.0,33
3.0,1.0,4,5000,true,112,112,0.0,0.9996389171078929,4812,0.8530295866421668,0.9624,44,43,63,63,1353,40034,1167,0,1.0,23
3.0,5.0,2,5000,true,107,107,0.0002,0.9971673379832516,4951,0.6827548937762584,0.9902,57,56,58,58,2265,54463,2164,52,1.0,39
5.0,0.0,28,5000,true,130,130,1.0,0.9997875669617555,4581,0.8262282755120807,0.9162,57,56,81,81,727,0,396,4,1.0,31
3.0,0.0,8,5000,true,108,108,0.0,0.9989236282965605,4921,0.7692817309891107,0.9842,51,50,59,59,1486,0,1388,19,1.0,31
3.0,1.0,5,5000,true,113,113,0.0,0.999074096078106,4875,0.7849543359825936,0.975,54,53,64,64,1860,52732,1734,2,1.0,27
5.0,0.0,29,5000,true,131,131,1.0,0.9997078679079962,4588,0.8099909065319865,0.9176,61,61,82,82,875,0,538,31,1.0,35
3.0,5.0,3,5000,true,147,147,1.0,0.9994330787797205,4927,0.791191942265091,0.9854,83,82,98,98,4762,72152,3239,1450,1.0,69
3.0,0.0,9,5000,true,121,121,1.0,0.998163054218831,4952,0.7560334405302357,0.9904,69,68,72,72,2805,0,1990,768,1.0,49
3.0,1.0,6,5000,true,114,114,0.0,0.9982771220619001,4945,0.7260857605507979,0.989,61,60,65,65,2068,57617,2000,13,1.0,33
3.0,5.0,4,5000,true,106,106,0.0,0.9975780178065388,4947,0.6950504055109081,0.9894,55,54,57,57,2198,53587,2123,22,1.0,35
5.0,0.0,30,5000,true,117,117,1.0,0.9997766219287633,4565,0.8554647733862208,0.913,45,44,68,68,344,0,73,0,1.0,19
3.0,0.0,10,5000,true,122,122,1.0,0.9980900565560121,4962,0.7599852916716255,0.9924,70,69,73,73,2930,0,2008,884,1.0,52
3.0,1.0,7,5000,true,139,139,0.0,0.9981326724817643,4936,0.8160111194055706,0.9872,87,86,90,90,4839,76201,2813,1962,1.0,61
3.0,5.0,5,5000,true,118,118,1.0,0.9967256671336109,4952,0.7014004260683652,0.9904,69,66,63,69,3191,59655,2464,679,1.0,55
3.0,0.0,11,5000,true,102,102,0.0,0.9994930310487158,4838,0.8457095157793284,0.9676,36,36,53,53,856,0,695,0,1.0,21
3.0,1.0,8,5000,true,124,124,1.0,0.9973193842248947,4978,0.7456741748642284,0.9956,75,75,75,75,3497,65537,2388,1087,1.0,52
3.0,5.0,6,5000,true,124,124,1.0,0.9971188032267215,4926,0.7179791288533499,0.9852,75,73,66,75,3592,63071,2605,913,1.0,62
3.0,1.0,9,5000,true,114,114,1.0,0.9988394578482582,4895,0.7596339713370998,0.979,57,56,65,65,1942,54870,1832,5,1.0,32
3.0,0.0,12,5000,true,108,108,1.0,0.9988777528864204,4922,0.7686507763678253,0.9844,51,50,59,59,1496,0,1402,17,1.0,31
3.0,5.0,7,5000,true,158,158,1.0,0.99841020517966,4868,0.7480580476243471,0.9736,100,99,109,109,7032,105093,4541,2359,1.0,90
3.0,1.0,10,5000,true,119,119,1.0,0.9973172099227431,4983,0.6984779359362386,0.9966,70,69,70,70,2668,62755,2259,392,1.0,41
3.0,0.0,13,5000,true,109,109,0.0,0.9986274865311637,4942,0.7531969212652827,0.9884,53,53,60,60,1591,0,1499,34,1.0,33
3.0,5.0,8,5000,true,109,109,1.0,0.9972225763761516,4981,0.669483748665252,0.9962,60,59,59,60,2485,55825,2293,173,1.0,38
3.0,1.0,11,5000,true,124,124,1.0,0.997215396590847,4981,0.7379470539828767,0.9962,75,75,75,75,3439,65247,2418,1002,1.0,52
3.0,0.0,14,5000,true,107,107,0.0,0.9990949629245537,4915,0.7880066234156622,0.983,48,47,58,58,1351,0,1265,2,1.0,31
3.0,5.0,9,5000,true,110,110,0.0,0.9966846746326719,4993,0.6680342865847195,0.9986,61,61,60,61,2594,56217,2335,252,1.0,39
3.0,1.0,12,5000,true,114,114,0.0,0.9991814868982845,4861,0.7903374778978377,0.9722,54,53,65,65,1830,52144,1690,1,1.0,30
3.0,5.0,10,5000,true,107,107,0.0,0.9971331246442089,4930,0.682846214515101,0.986,57,55,58,58,2292,54707,2166,56,1.0,36
3.0,0.0,15,5000,true,106,106,1.0,0.9990735059940326,4888,0.790613584413362,0.9776,47,46,57,57,1323,0,1207,4,1.0,31
3.0,1.0,13,5000,true,112,112,0.0,0.9995891219191805,4814,0.8495531365105399,0.9628,46,45,63,63,1421,41649,1235,0,1.0,25
3.0,5.0,11,5000,true,111,111,1.0,0.9971698505862221,4977,0.6669424815506401,0.9954,62,60,59,62,2466,56398,2286,157,1.0,45
