theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,2.0,9,5000,true,109,109,1.0,0.9989997005978041,4871,0.7779331066847689,0.9742,51,50,60,60,1965,50674,1835,2,1.0,24
3.0,0.5,5,5000,true,116,116,1.0,0.9995350814547479,4822,0.8356688352509094,0.9644,50,50,67,67,1465,46102,1287,0,1.0,24
3.0,0.0,1,5000,true,110,110,0.0,0.9985845396160347,4931,0.7470751568563573,0.9862,55,55,61,61,1695,0,1561,65,1.0,35
3.0,0.2,3,5000,true,119,119,1.0,0.9987915830739966,4909,0.7573962717812658,0.9818,63,62,70,70,1818,57855,1706,21,1.0,35
5.0,3.0,21,5000,true,133,133,1.0,0.9983309005859495,4838,0.6847835690561773,0.9676,79,78,84,84,2578,60562,2164,252,1.0,44
3.0,1.0,7,5000,true,157,157,1.0,0.9994760191884466,4910,0.8420832719912493,0.982,92,92,108,108,5325,83882,3100,2135,1.0,69
3.0,5.0,11,5000,true,157,157,1.0,0.9970165001232881,4926,0.697581923666977,0.9852,106,105,108,108,7231,108677,4715,2442,1.0,92
3.0,2.0,10,5000,true,109,109,1.0,0.9992164600607976,4846,0.7958770278573943,0.9692,48,48,60,60,1902,48925,1748,0,1.0,25
3.0,0.5,6,5000,true,116,116,1.0,0.9991497436980739,4869,0.7939688308227045,0.9738,57,56,67,67,1706,53021,1574,1,1.0,29
3.0,0.0,2,5000,true,109,109,1.0,0.9990477910254384,4892,0.7706429966763287,0.9784,51,50,60,60,1471,0,1353,10,1.0,32
3.0,0.2,4,5000,true,116,116,0.0,0.9994830641611269,4823,0.8389475839793954,0.9646,52,50,67,67,1382,45892,1205,0,1.0,27
3.0,1.0,8,5000,true,114,114,0.0,0.9994462973160043,4841,0.8206890927030298,0.9682,50,49,65,65,1667,48186,1509,0,1.0,27
3.0,0.0,3,5000,true,108,108,0.0,0.9989784226043772,4916,0.7772678738873116,0.9832,50,50,59,59,1445,0,1348,15,1.0,30
3.0,5.0,12,5000,true,125,125,1.0,0.9971890295525616,4940,0.7333937612337089,0.988,76,70,66,76,3745,63007,2670,1015,1.0,63
3.0,0.5,7,5000,true,123,123,0.0,0.9976655772528962,4972,0.7233582342440672,0.9944,73,72,74,74,2651,64929,2152,471,1.0,45
3.0,2.0,11,5000,true,116,116,1.0,0.9974913015892667,4993,0.6921360696343544,0.9986,67,66,65,67,2863,59183,2378,478,1.0,45
3.0,1.0,9,5000,true,114,114,0.0,0.9990309912711289,4892,0.7756311054362879,0.9784,56,55,65,65,1900,53889,1789,3,1.0,29
3.0,0.0,4,5000,true,105,105,0.0,0.9992927373384185,4862,0.8166062578273666,0.9724,43,42,56,56,1129,0,991,0,1.0,26
3.0,5.0,13,5000,true,110,110,1.0,0.9967395319909097,4973,0.6668706381007612,0.9946,61,60,59,61,2464,56284,2287,150,1.0,42
3.0,0.2,5,5000,true,172,172,0.0,0.9994994559877787,4883,0.8410153098413932,0.9766,106,106,123,123,5293,96545,3207,1969,1.0,79
3.0,0.5,8,5000,true,118,118,1.0,0.9988406664626848,4928,0.7521981045355607,0.9856,62,61,69,69,1867,57210,1785,10,1.0,31
3.0,2.0,12,5000,true,114,114,0.0,0.9973091122918674,4988,0.6794065802563517,0.9976,65,64,63,65,2643,58823,2347,284,1.0,44
3.0,0.0,5,5000,true,104,104,1.0,0.9993284943105127,4863,0.8212778122690438,0.9726,42,41,55,55,1109,0,972,0,1.0,27
3.0,1.0,10,5000,true,113,113,1.0,0.9996876202607756,4772,0.8573858736221646,0.9544,43,42,64,64,1329,39505,1102,0,1.0,22
3.0,0.2,6,5000,true,122,122,0.0,0.9982167279384881,4956,0.7303804268321668,0.9912,69,69,73,73,2086,62441,1913,129,1.0,39
3.0,0.5,9,5000,true,115,115,0.0,0.9992535161584665,4865,0.8101868591558967,0.973,54,53,66,66,1613,50841,1478,0,1.0,27
3.0,5.0,14,5000,true,156,156,0.0,0.9995105152493554,4844,0.8263626439660811,0.9688,89,88,107,107,5933,86280,3810,1967,1.0,78
3.0,2.0,13,5000,true,149,149,1.0,0.9995514665318506,4914,0.8276051455515239,0.9828,84,83,100,100,5170,75260,3041,2043,1.0,65
3.0,0.0,6,5000,true,106,106,1.0,0.9992122709091633,4868,0.7980994009549652,0.9736,45,45,57,57,1267,0,1135,1,1.0,25
3.0,1.0,11,5000,true,113,113,0.0,0.9994046429212523,4818,0.8246921901467119,0.9636,50,49,64,64,1627,47262,1445,0,1.0,25
3.0,0.5,10,5000,true,117,117,1.0,0.9991474738429311,4888,0.7896665454436714,0.9776,57,56,68,68,1707,53668,1594,1,1.0,32
3.0,0.2,7,5000,true,129,129,1.0,0.9978870034804828,4965,0.7427221902927733,0.993,77,77,80,80,2842,67221,2121,686,1.0,51
3.0,5.0,15,5000,true,109,109,0.0,0.9967614744171782,4974,0.6656703280063638,0.9948,60,59,59,60,2423,56139,2279,118,1.0,41
3.0,0.0,7,5000,true,109,109,0.0,0.9986953404376003,4923,0.7578718571194283,0.9846,53,53,60,60,1614,0,1496,41,1.0,34
3.0,2.0,14,5000,true,115,115,0.0,0.9973280846096253,4992,0.6823735935588234,0.9984,66,65,65,66,2703,59117,2328,367,1.0,37
3.0,0.5,11,5000,true,111,111,1.0,0.9996918155162788,4807,0.86399706072381,0.9614,41,41,62,62,988,32683,795,0,1.0,20
3.0,1.0,12,5000,true,114,114,1.0,0.9990730637084937,4889,0.7729962138801376,0.9778,56,55,65,65,1886,53626,1775,2,1.0,30
3.0,0.2,8,5000,true,121,121,1.0,0.9981293126846614,4956,0.7287444279688604,0.9912,69,69,72,72,2021,61646,1874,103,1.0,35
3.0,5.0,16,5000,true,128,128,1.0,0.9970255709425979,4905,0.7574104463989565,0.981,79,78,76,79,4264,67006,2861,1308,1.0,63
3.0,2.0,15,5000,true,113,113,1.0,0.9973256838651667,4990,0.6747445778514142,0.998,64,63,63,64,2497,58185,2302,185,1.0,41
3.0,0.0,8,5000,true,107,107,0.0,0.998882689339247,4898,0.7762470747178708,0.9796,50,49,58,58,1403,0,1293,8,1.0,31
3.0,0.5,12,5000,true,115,115,1.0,0.9996204803936806,4807,0.8479708147157884,0.9614,47,47,66,66,1332,42510,1139,0,1.0,22
3.0,0.2,9,5000,true,116,116,1.0,0.999472002423391,4832,0.8391711812843371,0.9664,51,50,67,67,1358,45745,1191,0,1.0,24
3.0,5.0,17,5000,true,115,115,1.0,0.9963286298446122,4949,0.702998357847127,0.9898,66,65,63,66,3227,58960,2434,742,1.0,50
3.0,2.0,16,5000,true,110,110,0.0,0.9970941685230574,4979,0.6732212356454197,0.9958,61,60,61,61,2312,57231,2231,60,1.0,31
3.0,1.0,13,5000,true,119,119,1.0,0.997271731823199,4983,0.700713912494115,0.9966,70,70,70,70,2741,63205,2278,446,1.0,47
3.0,0.0,9,5000,true,117,117,1.0,0.9980954820270023,4957,0.7493943244329151,0.9914,65,64,68,68,2501,0,1899,559,1.0,44
3.0,0.5,13,5000,true,120,120,0.0,0.99816150637972,4958,0.7217292881255765,0.9916,67,67,71,71,2137,61425,1988,107,1.0,38
3.0,2.0,17,5000,true,111,111,0.0,0.9970904384622665,4977,0.6758426047834614,0.9954,62,60,61,62,2314,57380,2233,58,1.0,36
3.0,5.0,18,5000,true,111,111,1.0,0.9972338118652119,4966,0.6701353270711045,0.9932,62,60,59,62,2476,56238,2278,164,1.0,42
3.0,1.0,14,5000,true,119,119,1.0,0.9973623774829914,4979,0.6990290543728656,0.9958,70,70,70,70,2728,62908,2281,426,1.0,44
3.0,0.2,10,5000,true,127,127,0.0,0.9979025421961245,4972,0.7341169627780246,0.9944,76,75,78,78,2632,66288,2097,507,1.0,47
3.0,0.0,10,5000,true,115,115,1.0,0.9983609596359957,4956,0.7449804061161635,0.9912,62,61,66,66,2143,0,1796,303,1.0,41
3.0,0.5,14,5000,true,117,117,1.0,0.9987833756645627,4913,0.7577798443085649,0.9826,61,60,68,68,1841,56760,1747,7,1.0,31
3.0,2.0,18,5000,true,130,130,0.0,0.997708374525691,4925,0.7879502728704967,0.985,80,79,81,81,4559,69103,2750,1734,1.0,62
3.0,5.0,19,5000,true,122,122,1.0,0.9967117500388835,4942,0.714770789874861,0.9884,73,68,65,73,3469,61776,2576,835,1.0,58
3.0,1.0,15,5000,true,114,114,0.0,0.9986790989246364,4930,0.7463992193273372,0.986,59,57,65,65,1977,55963,1902,5,1.0,31
3.0,0.0,11,5000,true,123,123,1.0,0.9981302730694117,4963,0.7680133453658806,0.9926,71,71,74,74,3120,0,2111,972,1.0,53
3.0,0.2,11,5000,true,139,139,1.0,0.9977787784074815,4955,0.7985040191398949,0.991,88,88,90,90,4048,75090,2422,1581,1.0,60
3.0,0.5,15,5000,true,117,117,0.0,0.9990867948658632,4888,0.7836686204318905,0.9776,58,57,68,68,1726,54002,1615,0,1.0,29
3.0,5.0,20,5000,true,112,112,0.0,0.9967244437314812,4964,0.6682721796340646,0.9928,63,62,60,63,2618,57341,2330,252,1.0,47
3.0,1.0,16,5000,true,116,116,0.0,0.9975190750764672,4969,0.6960108543358857,0.9938,65,65,67,67,2368,60736,2187,150,1.0,36
3.0,0.0,12,5000,true,108,108,0.0,0.9990254753421547,4891,0.7776293859270953,0.9782,49,49,59,59,1454,0,1329,16,1.0,31
3.0,2.0,19,5000,true,138,138,0.0,0.9987740001368014,4930,0.8138463719753455,0.986,82,81,89,89,4926,71743,2923,1933,1.0,59
3.0,0.2,12,5000,true,117,117,0.0,0.9992857977995858,4863,0.8080181660815506,0.9726,56,55,68,68,1552,51008,1415,0,1.0,29
3.0,0.5,16,5000,true,122,122,0.0,0.9977490408163163,4969,0.7140496664750116,0.9938,71,71,73,73,2379,63471,2088,260,1.0,43
3.0,0.0,13,5000,true,112,112,0.0,0.9985222629660461,4936,0.744153869548627,0.9872,57,57,63,63,1794,0,1617,113,1.0,37
3.0,2.0,20,5000,true,109,109,1.0,0.9986141342193936,4927,0.7394979001198301,0.9854,54,54,60,60,2071,53383,1996,2,1.0,28
3.0,1.0,17,5000,true,114,114,1.0,0.9977383924146179,4964,0.7089355993871351,0.9928,63,62,65,65,2133,59160,2057,40,1.0,34
3.0,0.2,13,5000,true,117,117,1.0,0.9993365798570739,4856,0.813236494031741,0.9712,55,55,68,68,1540,50403,1396,0,1.0,28
3.0,5.0,21,5000,true,158,158,1.0,0.999082062897797,4803,0.8069975504810134,0.9606,95,93,109,109,6756,98986,4285,2274,1.0,87
3.0,0.5,17,5000,true,115,115,0.0,0.9995913240557404,4833,0.8467271902690429,0.9666,48,48,66,66,1355,43346,1188,0,1.0,27
3.0,2.0,21,5000,true,109,109,0.0,0.9984896168692899,4923,0.7289881059168438,0.9846,54,54,60,60,2117,53890,2034,6,1.0,28
