N,condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
1000,A_baseline,5,5,false,29,0,false,0,1965,0,0,0.243,0.47179835643463625,0,0.0,0.0,5000
1000,A_baseline,5,5,false,9,0,false,1466,1438,0,0,0.462,0.2702994259730056,0,0.0,0.0,5000
1000,A_baseline,5,5,false,5,0,false,2379,2354,0,0,1.0,0.9999999999999999,0,0.0,0.0,5000
1000,A_baseline,5,5,false,30,0,false,0,3533,0,0,0.081,0.7650664246310137,0,0.0,0.0,5000
1000,A_baseline,5,5,false,11,0,false,2395,2388,0,0,1.0,0.9999999999999999,0,0.0,0.0,5000
1000,A_baseline,5,5,false,19,0,false,0,0,0,0,0.308,0.35441824984834336,0,0.0,0.0,5000
1000,A_baseline,5,5,false,13,0,false,0,0,0,0,0.61,0.27668663663913823,0,0.0,0.0,5000
1000,A_baseline,5,5,false,7,0,false,0,0,0,0,0.411,0.2704799677748385,0,0.0,0.0,5000
1000,A_baseline,5,5,false,17,0,false,0,0,0,0,0.431,0.2663762942004984,0,0.0,0.0,5000
1000,A_baseline,5,5,false,25,0,false,0,0,0,0,0.532,0.2433224938541021,0,0.0,0.0,5000
1000,A_baseline,5,5,false,23,0,false,0,0,0,0,0.635,0.3008510360524586,0,0.0,0.0,5000
1000,A_baseline,5,5,false,15,0,false,0,0,0,0,0.337,0.3324203863677247,0,0.0,0.0,5000
1000,A_baseline,5,5,false,3,0,false,3241,3169,0,0,0.174,0.6321713704342249,0,0.0,0.0,5000
1000,A_baseline,5,5,false,21,0,false,3566,3520,0,0,0.0,0.9999999999999999,0,0.0,0.0,5000
1000,A_baseline,5,5,false,27,0,false,1366,1311,0,0,0.793,0.5241145679120508,0,0.0,0.0,5000
1000,A_baseline,5,5,false,1,0,false,0,0,0,0,0.109,0.7216736851165645,0,0.0,0.0,5000
1000,A_baseline,5,5,false,26,0,false,2405,2373,0,0,0.0,0.9999999999999999,0,0.0,0.0,5000
1000,A_baseline,5,5,false,12,0,false,0,0,0,0,0.691,0.3577614650414544,0,0.0,0.0,5000
1000,A_baseline,5,5,false,14,0,false,4382,4258,0,0,0.042,0.861712082544856,0,0.0,0.0,5000
1000,A_baseline,5,5,false,10,0,false,0,0,0,0,0.555,0.25790310392071913,0,0.0,0.0,5000
1000,A_baseline,5,5,false,24,0,false,0,0,0,0,0.804,0.5764143524102308,0,0.0,0.0,5000
1000,A_baseline,5,5,false,6,0,false,0,0,0,0,0.321,0.34615930459192423,0,0.0,0.0,5000
1000,A_baseline,5,5,false,16,0,false,0,1900,0,0,0.135,0.6351951872839416,0,0.0,0.0,5000
1000,A_baseline,5,5,false,20,0,false,0,0,0,0,0.686,0.34652816510717177,0,0.0,0.0,5000
1000,A_baseline,5,5,false,4,0,false,0,0,0,0,0.304,0.38859165239291166,0,0.0,0.0,5000
1000,A_baseline,5,5,false,18,0,false,0,0,0,0,0.373,0.29555134570669855,0,0.0,0.0,5000
1000,A_baseline,5,5,false,2,0,false,0,4625,0,0,0.93,0.7829310533657645,0,0.0,0.0,5000
1000,A_baseline,5,5,false,8,0,false,0,0,0,0,0.525,0.2435810337458144,0,0.0,0.0,5000
1000,A_baseline,5,5,false,22,0,false,4806,4162,0,0,0.955,0.8686611552878115,0,0.0,0.0,5000
1000,A_baseline,5,5,false,28,0,false,0,0,0,0,0.582,0.28557990935397387,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,17,0,false,117,97,0,0,0.944,0.8099138580255855,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,30,0,false,153,122,0,0,0.924,0.799003738200887,0,0.0,0.0,5000
