condition,trial,symmetry_break_tick,agent_divergence_at_break,first_mover_mean_C,diffusion_duration,crystal_cascade_bursts,steady_state_tick,enforcement_at_steady,recovery_ticks,perturbation_depth,norm_survival_rate,recrystallisation_rate,norm_flip
EWA_RL,1,4,0.4401500319084049,NaN,77,0,81,0.0,1,0.8,NaN,NaN,false
EWA_RL,2,33,0.4746383451241687,NaN,90,0,126,0.0,1,0.8,NaN,NaN,false
EWA_RL,3,2,0.38754444796585397,NaN,38,0,40,0.0,1,0.8,NaN,NaN,false
EWA_RL,4,26,0.4694529564083996,NaN,85,0,111,0.0,3,0.8,NaN,NaN,false
EWA_RL,5,10,0.459832845733467,NaN,64,0,76,0.0,1,0.8,NaN,NaN,false
EWA_RL,6,55,0.47242210616564617,NaN,99,0,154,0.0,1,0.8,NaN,NaN,false
EWA_RL,7,5,0.44351498789821286,NaN,53,0,60,0.0,1,0.8,NaN,NaN,false
EWA_RL,8,20,0.4666935539086664,NaN,100,0,120,0.0,1,0.79,NaN,NaN,false
EWA_RL,9,138,0.46667302790979226,NaN,76,0,216,0.0,1,0.8,NaN,NaN,false
EWA_RL,10,8,0.4611831509969259,NaN,47,0,55,0.0,1,0.8,NaN,NaN,false
EWA_RL,11,71,0.470665718032251,NaN,103,0,176,0.0,1,0.8,NaN,NaN,false
EWA_RL,12,4,0.42868777414639864,NaN,34,0,38,0.0,1,0.8,NaN,NaN,false
EWA_RL,13,1,0.3525159935826315,NaN,32,0,33,0.0,1,0.8,NaN,NaN,false
EWA_RL,14,29,0.4718352159053772,NaN,98,0,127,0.0,2,0.8,NaN,NaN,false
EWA_RL,15,3,0.4246890832497986,NaN,38,0,44,0.0,1,0.8,NaN,NaN,false
EWA_RL,16,13,0.4717254312692365,NaN,64,0,77,0.0,1,0.8,NaN,NaN,false
EWA_RL,17,118,0.4741255856998844,NaN,98,0,219,0.0,1,0.8,NaN,NaN,false
EWA_RL,18,26,0.46326050137982805,NaN,72,0,98,0.0,1,0.79,NaN,NaN,false
EWA_RL,19,10,0.45247889615112635,NaN,59,0,69,0.0,1,0.8,NaN,NaN,false
EWA_RL,20,149,0.48034840152291775,NaN,103,0,254,0.0,1,0.8,NaN,NaN,false
EWA_RL,21,4,0.449992722221833,NaN,54,0,58,0.0,1,0.8,NaN,NaN,false
EWA_RL,22,10,0.4549425306587768,NaN,60,0,70,0.0,1,0.8,NaN,NaN,false
EWA_RL,23,2,0.3889908956313532,NaN,21,0,23,0.0,1,0.8,NaN,NaN,false
EWA_RL,24,24,0.46477048193812476,NaN,66,0,90,0.0,1,0.8,NaN,NaN,false
EWA_RL,25,126,0.4705890442552283,NaN,107,0,235,0.0,1,0.8,NaN,NaN,false
EWA_RL,26,5,0.44206175340900733,NaN,55,0,62,0.0,1,0.8,NaN,NaN,false
EWA_RL,27,4,0.43723183552895983,NaN,52,0,56,0.0,1,0.8,NaN,NaN,false
EWA_RL,28,62,0.47405695980357815,NaN,72,0,134,0.0,1,0.8,NaN,NaN,false
EWA_RL,29,7,0.4517929320650592,NaN,51,0,60,0.0,1,0.8,NaN,NaN,false
EWA_RL,30,11,0.4622871540449115,NaN,63,0,74,0.0,1,0.8,NaN,NaN,false
EWA_RL,31,6,0.4539671716556202,NaN,47,0,55,0.0,1,0.8,NaN,NaN,false
EWA_RL,32,124,0.4686034074979735,NaN,79,0,203,0.0,1,0.8,NaN,NaN,false
EWA_RL,33,27,0.4646722164523516,NaN,72,0,103,0.0,1,0.79,NaN,NaN,false
EWA_RL,34,4,0.4017300738869316,NaN,24,0,28,0.0,1,0.8,NaN,NaN,false
EWA_RL,35,4,0.4429140008425139,NaN,55,0,61,0.0,1,0.8,NaN,NaN,false
EWA_RL,36,4,0.42935708266516365,NaN,48,0,52,0.0,1,0.8,NaN,NaN,false
EWA_RL,37,4,0.4450669017093239,NaN,64,0,68,0.0,1,0.8,NaN,NaN,false
EWA_RL,38,73,0.46602313089692277,NaN,79,0,152,0.0,2,0.8,NaN,NaN,false
EWA_RL,39,48,0.47136006523249185,NaN,110,0,158,0.0,1,0.8,NaN,NaN,false
