N,topology,degree_k,rewire_p,trial,converged,conv_tick,total_ticks,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err
100,complete,4,0.0,16,true,28,228,1.0,1.0,99,0.9297171645962617,0.0
100,complete,4,0.0,37,true,36,236,1.0,1.0,99,0.9207234821205273,0.0
100,complete,4,0.0,1,true,35,235,1.0,1.0,97,0.922195128665657,0.0
100,complete,4,0.0,28,true,31,231,1.0,1.0,99,0.9277274328195325,0.0
100,complete,4,0.0,49,true,24,224,1.0,1.0,100,0.9283111014600558,0.0
100,complete,4,0.0,19,true,28,228,1.0,1.0,100,0.9285451890802512,0.0
100,complete,4,0.0,39,true,41,241,1.0,1.0,99,0.9179893810227109,0.0
100,complete,4,0.0,4,true,41,241,1.0,1.0,100,0.9135596695529777,0.0
100,complete,4,0.0,41,true,25,225,1.0,1.0,100,0.9277556982457966,0.0
100,complete,4,0.0,33,true,34,234,1.0,1.0,99,0.9191641053552821,0.0
100,complete,4,0.0,22,true,31,231,1.0,1.0,98,0.9285110135719644,0.0
100,complete,4,0.0,43,true,36,236,1.0,1.0,100,0.9225784132071673,0.0
100,complete,4,0.0,25,true,20,220,1.0,1.0,100,0.9267065572228277,0.0
100,complete,4,0.0,10,true,25,225,1.0,1.0,98,0.9290002374004965,0.0
100,complete,4,0.0,45,true,27,227,1.0,1.0,99,0.9296213304277074,0.0
100,complete,4,0.0,35,true,60,260,1.0,1.0,100,0.8627445591283663,0.0
100,complete,4,0.0,17,true,27,227,1.0,1.0,100,0.9286451841795267,0.0
100,complete,4,0.0,7,true,25,225,1.0,1.0,100,0.9280942535477165,0.0
100,complete,4,0.0,31,true,27,227,1.0,1.0,100,0.9282180223304316,0.0
100,complete,4,0.0,13,true,26,226,1.0,1.0,98,0.927501531193007,0.0
100,complete,4,0.0,38,true,49,249,1.0,1.0,100,0.8790011108923065,0.0
100,complete,4,0.0,2,true,44,244,1.0,1.0,100,0.9054589615302294,0.0
100,complete,4,0.0,20,true,27,227,1.0,1.0,99,0.9278604343662444,0.0
100,complete,4,0.0,29,true,35,235,1.0,1.0,99,0.9242409066227905,0.0
100,complete,4,0.0,50,true,36,236,1.0,1.0,99,0.9188075355990409,0.0
100,complete,4,0.0,34,true,27,227,1.0,1.0,98,0.9271842764627598,0.0
100,complete,4,0.0,40,true,40,240,1.0,1.0,100,0.9155481254560235,0.0
100,complete,4,0.0,44,true,22,222,1.0,1.0,100,0.9277355564150679,0.0
100,complete,4,0.0,5,true,74,274,1.0,1.0,100,0.8783752685667662,0.0
100,complete,4,0.0,42,true,43,243,1.0,1.0,99,0.9091539720338713,0.0
100,complete,4,0.0,23,true,41,241,1.0,1.0,99,0.9164870059590874,0.0
100,complete,4,0.0,47,true,27,227,1.0,1.0,100,0.92898728183576,0.0
100,complete,4,0.0,18,true,21,221,1.0,1.0,100,0.9273107298969747,0.0
100,complete,4,0.0,46,true,31,231,1.0,1.0,99,0.9273827114658109,0.0
100,complete,4,0.0,32,true,44,244,1.0,1.0,98,0.8841036565656984,0.0
100,complete,4,0.0,11,true,38,238,1.0,1.0,100,0.9305979369504197,0.0
100,complete,4,0.0,36,true,26,226,1.0,1.0,98,0.9270112543790753,0.0
100,complete,4,0.0,26,true,29,229,1.0,1.0,99,0.9265547453211723,0.0
100,complete,4,0.0,8,true,31,231,1.0,1.0,99,0.9269102633395543,0.0
100,complete,4,0.0,14,true,38,238,1.0,1.0,99,0.915131451701502,0.0
100,complete,4,0.0,30,true,21,221,1.0,1.0,100,0.9282452347344652,0.0
100,complete,4,0.0,21,true,28,228,1.0,1.0,98,0.928915267524625,0.0
