N,condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
20,A_baseline,5,5,false,1,0,false,100,103,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,2,0,false,7,9,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,3,0,false,43,98,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,4,0,false,41,31,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,5,0,false,125,58,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,6,0,false,73,67,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,7,0,false,23,26,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,8,0,false,86,26,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,9,0,false,217,217,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,10,0,false,24,28,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,11,0,false,52,56,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,12,0,false,98,124,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,13,0,false,155,58,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,14,0,false,374,151,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,15,0,false,144,75,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,16,0,false,75,84,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,17,0,false,154,24,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,18,0,false,241,112,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,19,0,false,119,151,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,20,0,false,67,68,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,21,0,false,48,35,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,22,0,false,19,22,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,23,0,false,67,71,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,24,0,false,180,184,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,25,0,false,21,23,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,26,0,false,58,60,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,27,0,false,176,155,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,28,0,false,12,239,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,29,0,false,13,28,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,A_baseline,5,5,false,30,0,false,49,69,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,B_lockin_only,2,6,false,1,0,false,60,74,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,B_lockin_only,2,6,false,2,0,false,22,22,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,B_lockin_only,2,6,false,3,0,false,6,40,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,B_lockin_only,2,6,false,4,0,false,24,31,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
20,B_lockin_only,2,6,false,5,0,false,117,139,0,0,0.0,0.9999999999999998,0,0.0,0.0,3000
20,B_lockin_only,2,6,false,6,0,false,88,93,0,0,1.0,0.9999999999999998,0,0.0,0.0,3000
