V,Phi,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0,0.0,C_normative_only,1,73,true,23,24,24,24,0.0,0.9974628118549661,100,0.8482246708553882,1.0,73
0,0.0,C_normative_only,2,111,true,58,60,62,62,1.0,0.9970152483929354,99,0.7140220214256651,0.99,111
0,0.0,C_normative_only,3,107,true,47,49,58,58,1.0,0.9990168164713412,96,0.7789030804891438,0.96,107
0,0.0,C_normative_only,4,104,true,33,33,55,55,1.0,0.9997114813536492,96,0.8609981054277731,0.96,104
0,0.0,C_normative_only,5,102,true,44,43,53,53,1.0,0.9989652358201614,100,0.8084992682789313,1.0,102
0,0.0,C_normative_only,6,111,true,43,43,62,62,1.0,0.9996352021287742,94,0.8267022884526093,0.94,111
0,0.0,C_normative_only,7,139,true,85,85,90,90,1.0,0.9981433427626999,99,0.8028035252666165,0.99,139
0,0.0,C_normative_only,8,78,true,24,26,26,27,0.0,0.9980534261362731,97,0.8509537464125229,0.97,78
0,0.0,C_normative_only,9,89,true,31,32,32,32,1.0,0.9986866836827788,99,0.8466005068889203,0.99,89
0,0.0,C_normative_only,10,100,true,41,38,51,51,1.0,0.9992301638533446,99,0.8399114365616772,0.99,100
0,0.0,C_normative_only,11,103,true,41,41,54,54,1.0,0.9992140278696553,97,0.817025155573384,0.97,103
0,0.0,C_normative_only,12,102,true,44,47,53,53,0.0,0.9986899199821794,99,0.7995171191755591,0.99,102
0,0.0,C_normative_only,13,93,true,36,38,44,44,1.0,0.9988048832279385,98,0.8506696007046585,0.98,93
0,0.0,C_normative_only,14,81,true,29,30,32,32,1.0,0.9979893088657542,97,0.8502556091294659,0.97,81
0,0.0,C_normative_only,15,99,true,41,41,50,50,0.0,0.9989397177484604,99,0.8120147416974371,0.99,99
0,0.0,C_normative_only,16,74,true,25,25,23,25,1.0,0.9974032005082724,97,0.8488328021865819,0.97,74
0,0.0,C_normative_only,17,77,true,28,28,23,28,0.0,0.9978473302242651,99,0.8507446572298236,0.99,77
