delta,lambda,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_all_met,final_fraction_A,final_coordination_rate,total_ticks
0.0,0.5,1,0,false,0,1,0,0.48,0.44,3000
0.0,0.5,2,0,false,0,1,0,0.47,0.54,3000
0.0,0.5,3,0,false,0,1,0,0.44,0.56,3000
0.0,0.5,4,0,false,0,1,0,0.56,0.52,3000
0.0,0.5,5,0,false,0,1,0,0.48,0.4,3000
0.0,0.5,6,0,false,0,1,0,0.51,0.46,3000
0.0,0.5,7,0,false,0,1,0,0.47,0.38,3000
0.0,0.5,8,0,false,0,1,0,0.48,0.44,3000
0.0,0.5,9,0,false,0,1,0,0.41,0.42,3000
0.0,0.5,10,0,false,0,1,0,0.49,0.58,3000
0.0,0.5,11,0,false,0,1,0,0.49,0.54,3000
0.0,0.5,12,0,false,0,1,0,0.53,0.54,3000
0.0,0.5,13,0,false,0,1,0,0.51,0.46,3000
0.0,0.5,14,0,false,0,1,0,0.45,0.54,3000
0.0,0.5,15,0,false,0,1,0,0.52,0.48,3000
0.0,0.5,16,0,false,0,1,0,0.5,0.48,3000
0.0,0.5,17,0,false,0,1,0,0.52,0.52,3000
0.0,0.5,18,0,false,0,1,0,0.59,0.66,3000
0.0,0.5,19,0,false,0,1,0,0.59,0.46,3000
0.0,0.5,20,0,false,0,1,0,0.52,0.56,3000
0.0,1.0,1,0,false,0,1,0,0.54,0.6,3000
0.0,1.0,2,0,false,0,1,0,0.41,0.54,3000
0.0,1.0,3,0,false,0,1,0,0.45,0.54,3000
0.0,1.0,4,0,false,0,1,0,0.58,0.56,3000
0.0,1.0,5,0,false,0,1,0,0.47,0.62,3000
0.0,1.0,6,0,false,0,1,0,0.47,0.62,3000
0.0,1.0,7,0,false,0,1,0,0.61,0.54,3000
0.0,1.0,8,0,false,0,1,0,0.41,0.54,3000
0.0,1.0,9,0,false,0,1,0,0.48,0.56,3000
0.0,1.0,10,0,false,0,1,0,0.52,0.52,3000
0.0,1.0,11,0,false,0,1,0,0.48,0.44,3000
0.0,1.0,12,0,false,0,1,0,0.48,0.48,3000
