theta_crystal,trial,converged,convergence_tick,first_tick_behavioral,first_tick_crystal,first_tick_all_met,final_num_crystallised,final_frac_dominant_norm,final_mean_norm_strength,total_ticks
3.0,1,true,90,27,41,41,98,0.98,0.8566061152191766,90
3.0,2,true,83,29,34,34,99,0.99,0.8502984003586052,83
3.0,3,true,80,29,31,31,98,0.98,0.8500361547895027,80
3.0,4,true,74,25,24,25,99,0.99,0.8487430894047766,74
3.0,5,true,72,20,22,23,98,0.98,0.847810359581394,72
3.0,6,true,73,24,23,24,100,1.0,0.8479753199163419,73
3.0,7,true,79,28,26,28,99,0.99,0.8506516803147421,79
3.0,8,true,99,31,50,50,100,1.0,0.846767287384011,99
3.0,9,true,111,46,62,62,98,0.98,0.771440277512701,111
3.0,10,true,73,23,24,24,100,1.0,0.8474206397151367,73
3.0,11,true,104,43,55,55,100,1.0,0.8098612904914002,104
3.0,12,true,94,30,45,45,99,0.99,0.8584679872905266,94
3.0,13,true,74,23,24,25,100,1.0,0.8480974950104563,74
3.0,14,true,115,54,66,66,99,0.99,0.7729302513205972,115
3.0,15,true,93,32,44,44,99,0.99,0.8515859835658262,93
3.0,16,true,74,25,24,25,98,0.98,0.8485493659238807,74
3.0,17,true,76,27,27,27,99,0.99,0.8481842263166897,76
3.0,18,true,75,24,26,26,100,1.0,0.8477160768255655,75
3.0,19,true,97,34,48,48,99,0.99,0.8373553773132322,97
3.0,20,true,94,32,45,45,96,0.96,0.8501816248618037,94
3.0,21,true,68,18,19,19,100,1.0,0.8470341826979464,68
3.0,22,true,104,37,55,55,97,0.97,0.8583002831870312,104
3.0,23,true,93,31,44,44,98,0.98,0.8528216574586973,93
3.0,24,true,106,34,57,57,97,0.97,0.8656717050768924,106
3.0,25,true,70,20,21,21,99,0.99,0.847397051597764,70
3.0,26,true,104,37,55,55,99,0.99,0.8358381501130333,104
3.0,27,true,103,40,54,54,96,0.96,0.8013653631132573,103
3.0,28,true,99,32,50,50,96,0.96,0.8613283368914534,99
3.0,29,true,101,38,52,52,100,1.0,0.8378345188347569,101
3.0,30,true,77,28,27,28,99,0.99,0.8487123194247604,77
5.0,1,true,83,24,34,34,98,0.98,0.8505245630988942,83
5.0,2,true,130,44,81,81,93,0.93,0.8679902471805796,130
5.0,3,true,85,27,36,36,97,0.97,0.8508329666659591,85
5.0,4,true,81,26,32,32,96,0.96,0.8501057637340589,81
5.0,5,true,87,29,38,38,97,0.97,0.8505379363714485,87
5.0,6,true,93,37,44,44,96,0.96,0.8512947387416304,93
5.0,7,true,95,38,46,46,95,0.95,0.8478533079888892,95
5.0,8,true,78,26,29,29,99,0.99,0.8479573592209502,78
5.0,9,true,89,36,40,40,97,0.97,0.8503056409253844,89
5.0,10,true,82,30,33,33,97,0.97,0.849501985736215,82
5.0,11,true,89,33,40,40,98,0.98,0.8503750091108703,89
5.0,12,true,94,36,45,45,96,0.96,0.8524530353305072,94
5.0,13,true,79,27,30,30,100,1.0,0.8483438532432441,79
5.0,14,true,96,39,47,47,97,0.97,0.8527491591305391,96
5.0,15,true,104,45,55,55,97,0.97,0.8494342735400037,104
5.0,16,true,91,33,42,42,95,0.95,0.8519819685375275,91
5.0,17,true,84,31,35,35,100,1.0,0.8485512775779381,84
5.0,18,true,89,33,40,40,98,0.98,0.850754866704645,89
5.0,19,true,114,42,65,65,95,0.95,0.8622734360104309,114
5.0,20,true,87,34,38,38,99,0.99,0.8453562123338066,87
5.0,21,true,89,31,40,40,97,0.97,0.851644243113106,89
5.0,22,true,86,31,37,37,100,1.0,0.849688919688488,86
5.0,23,true,87,35,38,38,96,0.96,0.8500162142576464,87
5.0,24,true,114,47,65,65,91,0.91,0.8570702262531393,114
5.0,25,true,84,29,35,35,99,0.99,0.8502821182768797,84
5.0,26,true,83,27,34,34,98,0.98,0.8490832145608403,83
5.0,27,true,103,40,54,54,91,0.91,0.8476237016607471,103
5.0,28,true,86,33,37,37,97,0.97,0.8500922870386,86
5.0,29,true,86,29,37,37,99,0.99,0.850516341798568,86
5.0,30,true,78,24,29,29,100,1.0,0.8481487389515955,78
7.0,1,true,418,60,369,369,90,0.9,0.9623389735856798,418
7.0,2,true,88,34,39,39,97,0.97,0.8499546720506921,88
7.0,3,true,104,32,55,55,94,0.94,0.8587141917538722,104
7.0,4,true,136,57,87,87,93,0.93,0.8542362992700616,136
7.0,5,true,635,70,586,586,90,0.9,0.9834744560587595,635
7.0,6,true,171,52,122,122,91,0.91,0.8884278510951524,171
7.0,7,true,1246,56,1197,1197,90,0.9,0.9958270896659697,1246
7.0,8,true,116,42,67,67,93,0.93,0.8597478139891895,116
7.0,9,true,112,42,63,63,92,0.92,0.8605739031807262,112
7.0,10,true,89,34,40,40,97,0.97,0.8509205363653605,89
7.0,11,true,98,39,49,49,98,0.98,0.8525768935467052,98
7.0,12,true,167,46,118,118,92,0.92,0.8875500641448701,167
7.0,13,true,92,30,43,43,95,0.95,0.8519383199789146,92
7.0,14,true,90,33,41,41,95,0.95,0.8505547371470881,90
7.0,15,true,84,29,35,35,97,0.97,0.8486379048674931,84
7.0,16,true,103,43,54,54,94,0.94,0.8546032895418294,103
7.0,17,true,95,36,46,46,96,0.96,0.8514635744537823,95
7.0,18,true,90,31,41,41,97,0.97,0.8513372535959686,90
7.0,19,true,101,39,52,52,96,0.96,0.8494421691252664,101
7.0,20,true,129,45,80,80,91,0.91,0.8698463995209805,129
7.0,21,true,159,47,110,110,92,0.92,0.8830475685735955,159
7.0,22,true,97,33,48,48,96,0.96,0.8549825234129833,97
7.0,23,true,224,40,175,175,91,0.91,0.9173045069695538,224
7.0,24,true,97,30,48,48,95,0.95,0.8548438923486374,97
7.0,25,true,93,34,44,44,97,0.97,0.8504744092197751,93
7.0,26,true,101,33,52,52,96,0.96,0.8557342801421658,101
7.0,27,true,102,42,53,53,98,0.98,0.8527276323145947,102
7.0,28,true,101,38,52,52,95,0.95,0.8539573235780424,101
7.0,29,true,341,50,292,292,90,0.9,0.9510333945171177,341
7.0,30,true,148,61,99,99,91,0.91,0.8637971809772237,148
9.0,1,true,458,49,409,409,90,0.9,0.970757775430545,458
9.0,2,true,647,81,598,598,90,0.9,0.9833641882803095,647
9.0,3,true,105,42,56,56,94,0.94,0.8543380945865452,105
9.0,4,true,578,72,529,529,90,0.9,0.9796627538006373,578
9.0,5,true,121,43,72,72,92,0.92,0.8635806203922466,121
9.0,6,true,1906,74,1857,1857,90,0.9,0.9973167820911502,1906
9.0,7,true,757,39,708,708,90,0.9,0.9914596726860794,757
9.0,8,true,226,42,177,177,91,0.91,0.9158353166288563,226
9.0,9,true,106,42,57,57,93,0.93,0.8557269458766794,106
9.0,10,true,142,36,93,93,91,0.91,0.8796551931251411,142
9.0,11,true,2111,62,2062,2062,90,0.9,0.9936853890040507,2111
9.0,12,true,1199,83,1150,1150,90,0.9,0.997101977412975,1199
9.0,13,true,113,44,64,64,94,0.94,0.857968716926605,113
9.0,14,true,2878,49,2829,2829,90,0.9,0.9979750301935613,2878
9.0,15,true,204,51,155,155,91,0.91,0.9046782421935642,204
9.0,16,true,113,24,64,64,93,0.93,0.863136821248736,113
9.0,17,true,744,58,695,695,90,0.9,0.9896554989929598,744
9.0,18,true,1952,60,1903,1903,90,0.9,0.9979155919937746,1952
9.0,19,true,285,40,236,236,90,0.9,0.939129756300602,285
9.0,20,true,187,42,138,138,90,0.9,0.8998971196929849,187
9.0,21,true,111,42,62,62,93,0.93,0.8562233650168495,111
9.0,22,true,112,41,63,63,94,0.94,0.8594198950366589,112
9.0,23,true,95,40,46,46,99,0.99,0.8502990476453133,95
9.0,24,true,228,62,179,179,90,0.9,0.9076131723822798,228
9.0,25,true,100,38,51,51,95,0.95,0.8520491818258159,100
9.0,26,false,0,80,0,0,86,0.86,0.9981551372014992,3000
9.0,27,true,1044,62,995,995,90,0.9,0.9949026480992106,1044
9.0,28,true,147,45,98,98,92,0.92,0.8796323156860488,147
9.0,29,true,104,40,55,55,96,0.96,0.8548036292052817,104
9.0,30,true,144,54,95,95,93,0.93,0.8711950539603485,144
11.0,1,false,0,66,0,0,88,0.88,0.9999861576045319,3000
11.0,2,true,425,51,376,376,91,0.91,0.9634747659654607,425
11.0,3,true,339,58,290,290,90,0.9,0.9487298267389551,339
11.0,4,true,182,55,133,133,91,0.91,0.8930056823056141,182
11.0,5,true,2075,74,2026,2026,90,0.9,0.9976564067043268,2075
11.0,6,true,2096,57,2047,2047,90,0.9,0.998047614288671,2096
11.0,7,true,2301,57,2252,2252,90,0.9,0.9982230818164051,2301
11.0,8,false,0,75,0,0,88,0.88,0.9999993498419507,3000
11.0,9,false,0,77,0,0,77,0.77,0.9964745113135142,3000
11.0,10,true,571,58,522,522,91,0.91,0.9805550845518157,571
11.0,11,true,2493,24,2444,2444,90,0.9,0.9975448957023003,2493
11.0,12,true,2535,61,2486,2486,90,0.9,0.998208454442822,2535
11.0,13,true,1875,60,1826,1826,90,0.9,0.9968431667952026,1875
11.0,14,true,1162,78,1113,1113,90,0.9,0.9942292744868714,1162
11.0,15,true,151,56,102,102,93,0.93,0.8740795346007697,151
11.0,16,true,127,48,78,78,93,0.93,0.8648403841896591,127
11.0,17,true,682,55,633,633,91,0.91,0.987196053337636,682
11.0,18,false,0,75,0,0,87,0.87,0.999620532562071,3000
11.0,19,true,146,48,97,97,91,0.91,0.878366492798092,146
11.0,20,true,790,47,741,741,90,0.9,0.9899571446693893,790
11.0,21,true,2527,43,2478,2478,90,0.9,0.9964820116681439,2527
11.0,22,true,1200,66,1151,1151,90,0.9,0.9973637600637831,1200
11.0,23,false,0,60,0,0,87,0.87,0.9989103955690809,3000
11.0,24,true,658,53,609,609,90,0.9,0.9869309830362182,658
11.0,25,false,0,50,0,0,89,0.89,0.9993741163639505,3000
11.0,26,true,322,46,273,273,92,0.92,0.9443849364179961,322
11.0,27,false,0,54,0,0,89,0.89,0.9999469888722335,3000
11.0,28,true,265,50,216,216,91,0.91,0.928059932731088,265
11.0,29,false,0,96,0,0,82,0.82,0.9961142622493525,3000
11.0,30,true,498,48,449,449,90,0.9,0.9753174117040148,498
13.0,1,false,0,47,0,0,89,0.89,0.9979764913074047,3000
13.0,2,true,200,53,151,151,93,0.93,0.9000972918093306,200
13.0,3,true,2684,77,2635,2635,90,0.9,0.9982606032186805,2684
13.0,4,false,0,89,0,0,83,0.83,0.9992806579826423,3000
13.0,5,false,0,58,0,0,87,0.87,0.9997305420198261,3000
13.0,6,true,1008,68,959,959,90,0.9,0.993702754653545,1008
13.0,7,false,0,54,0,0,89,0.89,0.9989972608787399,3000
13.0,8,true,1349,59,1300,1300,90,0.9,0.9956341117968492,1349
13.0,9,true,841,46,792,792,90,0.9,0.9932452939494566,841
13.0,10,false,0,87,0,0,80,0.8,0.9999298415106173,3000
13.0,11,true,343,48,294,294,92,0.92,0.9457535623746006,343
13.0,12,true,891,56,842,842,90,0.9,0.9948211542037416,891
13.0,13,true,1024,74,975,975,90,0.9,0.9944829354668926,1024
13.0,14,false,0,64,0,0,79,0.79,0.9957733617221691,3000
13.0,15,true,2557,54,2508,2508,90,0.9,0.9980545811167425,2557
13.0,16,true,1772,84,1723,1723,90,0.9,0.9958769358353355,1772
13.0,17,true,815,58,766,766,90,0.9,0.9921735812208778,815
13.0,18,false,0,61,0,0,77,0.77,0.9994022483649266,3000
13.0,19,true,1835,76,1786,1786,90,0.9,0.9981169464145118,1835
13.0,20,true,323,55,274,274,92,0.92,0.9418659634843908,323
13.0,21,false,0,115,0,0,73,0.73,0.9963224631327197,3000
13.0,22,false,0,67,0,0,76,0.76,0.9998069102797972,3000
13.0,23,false,0,69,0,0,89,0.89,0.9991907099687652,3000
13.0,24,false,0,32,0,0,84,0.84,0.9972447165790752,3000
13.0,25,false,0,68,0,0,87,0.87,0.9990170126594347,3000
13.0,26,false,0,102,0,0,87,0.87,0.9997273011792213,3000
13.0,27,true,2642,49,2593,2593,90,0.9,0.9977314644967394,2642
13.0,28,true,165,48,116,116,92,0.92,0.884277852484283,165
13.0,29,false,0,91,0,0,78,0.78,0.9980304693496956,3000
13.0,30,true,381,63,332,332,90,0.9,0.9561197722564381,381
15.0,1,false,0,77,0,0,86,0.86,0.9987334601030512,3000
15.0,2,false,0,67,0,0,87,0.87,0.9999991400231587,3000
15.0,3,true,1420,68,1371,1371,90,0.9,0.996447536827001,1420
15.0,4,false,0,52,0,0,79,0.79,0.9999588742413572,3000
15.0,5,true,1302,74,1253,1253,90,0.9,0.9972731014157117,1302
15.0,6,false,0,40,0,0,89,0.89,0.9999989500145797,3000
15.0,7,false,0,38,0,0,80,0.8,0.9980953958959148,3000
15.0,8,false,0,55,0,0,64,0.64,0.9999579873243309,3000
15.0,9,false,0,67,0,0,85,0.85,0.9998308454549215,3000
15.0,10,false,0,72,0,0,77,0.77,0.9984863320066835,3000
15.0,11,true,1053,64,1004,1004,90,0.9,0.9920305633481731,1053
15.0,12,true,1577,72,1528,1528,90,0.9,0.9972883162796292,1577
15.0,13,false,0,65,0,0,81,0.81,0.9994830517219654,3000
15.0,14,false,0,78,0,0,86,0.86,0.9984796945816122,3000
15.0,15,true,2980,59,2931,2931,90,0.9,0.9973004918556179,2980
15.0,16,false,0,70,0,0,86,0.86,0.9995252486463577,3000
15.0,17,false,0,87,0,0,84,0.84,0.996848844075142,3000
15.0,18,true,322,60,273,273,90,0.9,0.9435139570141596,322
15.0,19,false,0,31,0,0,84,0.84,0.9992799544158577,3000
15.0,20,false,0,89,0,0,84,0.84,0.9999977931766133,3000
15.0,21,false,0,98,0,0,62,0.62,0.9994084440383102,3000
15.0,22,false,0,63,0,0,85,0.85,0.9999069611211608,3000
15.0,23,false,0,100,0,0,62,0.62,0.999717520488349,3000
15.0,24,true,638,65,589,589,90,0.9,0.9855585150063394,638
15.0,25,false,0,69,0,0,85,0.85,0.997173876000816,3000
15.0,26,true,2136,79,2087,2087,90,0.9,0.9971796050596585,2136
15.0,27,true,1536,67,1487,1487,90,0.9,0.997756916660405,1536
15.0,28,true,969,60,920,920,90,0.9,0.9916961987368582,969
15.0,29,true,2301,88,2252,2252,91,0.91,0.996034608003323,2301
15.0,30,true,445,69,396,396,91,0.91,0.9649015812294275,445
18.0,1,false,0,66,0,0,80,0.8,0.9997886789316961,3000
18.0,2,false,0,111,0,0,69,0.69,0.9985033411920885,3000
18.0,3,false,0,92,0,0,71,0.71,0.9986230658729112,3000
18.0,4,false,0,164,0,0,58,0.58,0.9982086370669114,3000
18.0,5,true,2593,75,2544,2544,90,0.9,0.9970409778701649,2593
18.0,6,false,0,33,0,0,89,0.89,0.9999338251091872,3000
18.0,7,false,0,52,0,0,64,0.64,0.9982173652729486,3000
