N,theta_crystal,trial,converged,convergence_tick,first_tick_behavioral,final_frac_dominant_norm
50,1.0,1,true,83,27,1.0
50,1.0,2,true,85,28,1.0
50,1.0,3,true,111,60,1.0
50,1.0,4,true,88,39,1.0
50,1.0,5,true,117,55,1.0
50,1.0,6,true,81,24,1.0
50,1.0,7,true,101,52,1.0
50,1.0,8,true,78,18,1.0
50,1.0,9,true,153,103,1.0
50,1.0,10,true,126,67,1.0
50,1.0,11,true,81,22,1.0
50,1.0,12,true,109,59,1.0
50,1.0,13,true,81,21,1.0
50,1.0,14,true,83,24,1.0
50,1.0,15,true,120,64,1.0
50,1.0,16,true,99,35,1.0
50,1.0,17,true,129,66,1.0
50,1.0,18,true,85,30,1.0
50,1.0,19,true,88,32,1.0
50,1.0,20,true,122,68,1.0
50,1.0,21,true,93,42,1.0
50,1.0,22,true,109,58,1.0
50,1.0,23,true,94,38,1.0
50,1.0,24,true,110,54,1.0
50,1.0,25,true,90,35,1.0
50,1.0,26,true,82,23,1.0
50,1.0,27,true,80,23,1.0
50,1.0,28,true,82,24,1.0
50,1.0,29,true,93,40,1.0
50,1.0,30,true,84,27,1.0
50,3.0,1,true,95,30,0.96
50,3.0,2,true,81,26,0.98
50,3.0,3,true,67,17,1.0
50,3.0,4,true,68,19,1.0
50,3.0,5,true,73,24,0.98
50,3.0,6,true,74,22,1.0
50,3.0,7,true,75,23,0.96
50,3.0,8,true,108,39,0.96
50,3.0,9,true,67,18,1.0
50,3.0,10,true,77,28,0.98
50,3.0,11,true,84,32,0.98
50,3.0,12,true,82,29,0.96
50,3.0,13,true,81,26,1.0
50,3.0,14,true,73,20,1.0
50,3.0,15,true,69,20,1.0
50,3.0,16,true,78,28,0.98
50,3.0,17,true,73,22,1.0
50,3.0,18,true,80,29,1.0
50,3.0,19,true,81,29,0.96
50,3.0,20,true,94,30,1.0
50,3.0,21,true,92,28,0.98
50,3.0,22,true,73,21,0.98
50,3.0,23,true,70,18,1.0
50,3.0,24,true,97,37,1.0
50,3.0,25,true,79,27,0.98
50,3.0,26,true,72,23,0.96
50,3.0,27,true,101,40,0.96
50,3.0,28,true,83,31,0.96
50,3.0,29,true,73,24,1.0
50,3.0,30,true,107,57,1.0
50,5.0,1,true,76,22,1.0
50,5.0,2,true,78,26,1.0
50,5.0,3,true,82,30,1.0
50,5.0,4,true,129,54,0.94
50,5.0,5,true,79,26,1.0
50,5.0,6,true,82,26,1.0
50,5.0,7,true,81,26,1.0
50,5.0,8,true,80,27,1.0
50,5.0,9,true,107,40,0.94
50,5.0,10,true,93,33,0.96
50,5.0,11,true,104,44,0.94
50,5.0,12,true,79,26,1.0
50,5.0,13,true,94,38,0.96
50,5.0,14,true,80,28,0.98
50,5.0,15,true,81,21,0.98
50,5.0,16,true,95,38,0.98
50,5.0,17,true,82,31,0.98
50,5.0,18,true,104,45,0.94
50,5.0,19,true,82,27,0.94
50,5.0,20,true,91,36,0.98
50,5.0,21,true,72,22,1.0
50,5.0,22,true,79,22,1.0
